#Mapping quality	mapping quality
0.0	4812406.0
1.0	456308.0
2.0	810145.0
3.0	1701830.0
4.0	995729.0
5.0	926917.0
6.0	1878547.0
7.0	3560648.0
8.0	2702636.0
9.0	2002820.0
10.0	1979881.0
11.0	2648021.0
12.0	6882914.0
13.0	2588185.0
14.0	3088482.0
15.0	3941892.0
16.0	4108611.0
17.0	4465432.0
18.0	5471876.0
19.0	5297855.0
20.0	6110764.0
21.0	8224091.0
22.0	8488947.0
23.0	1.1439501E7
24.0	1.4818681E7
25.0	1.186562E7
26.0	1.3265882E7
27.0	1.53915E7
28.0	1.8475383E7
29.0	2.1068381E7
30.0	3.2027877E7
31.0	3.0758018E7
32.0	4.0686432E7
33.0	4.8970343E7
34.0	6.1744138E7
35.0	8.0145708E7
36.0	1.13886225E8
37.0	1.50901488E8
38.0	2.15885148E8
39.0	2.90497381E8
40.0	3.59755519E8
41.0	5.81758952E8
42.0	6.51202859E8
