#Duplication rate	Coverage
1.0	2.21102758E8
2.0	3.0199118E7
3.0	4172973.0
4.0	709446.0
5.0	143106.0
6.0	39238.0
7.0	15487.0
8.0	8653.0
9.0	5847.0
10.0	4282.0
11.0	3496.0
12.0	2815.0
13.0	2348.0
14.0	1948.0
15.0	1601.0
16.0	1427.0
17.0	1296.0
18.0	1078.0
19.0	1004.0
20.0	892.0
21.0	811.0
22.0	740.0
23.0	614.0
24.0	656.0
25.0	602.0
26.0	512.0
27.0	453.0
28.0	452.0
29.0	432.0
30.0	408.0
31.0	367.0
32.0	318.0
33.0	274.0
34.0	306.0
35.0	261.0
36.0	267.0
37.0	244.0
38.0	247.0
39.0	244.0
40.0	245.0
41.0	207.0
42.0	209.0
43.0	181.0
44.0	194.0
45.0	177.0
46.0	167.0
47.0	151.0
48.0	171.0
49.0	134.0
50.0	4829.0
