#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.1383095561926979E-5	0.0
2.0	1.5021953979264292E-5	3.0E-6
3.0	1.7012440634901795E-5	3.0E-6
4.0	1.8256494794675236E-5	1.0E-5
5.0	2.189535321201255E-5	8.0E-6
6.0	3.0075009312522923E-5	1.2000000000000002E-5
7.0	5.5515916879889774E-5	6.999999999999999E-6
8.0	1.1986461829417096E-4	9.999999999999999E-6
9.0	2.4339919635967358E-4	1.6E-5
10.0	5.992919901168606E-4	1.5000000000000002E-5
11.0	0.0016016575280003158	1.9999999999999998E-5
12.0	0.0041934266604103185	1.6E-5
13.0	0.009730151901190004	1.6E-5
14.0	0.018730323922778947	2.4999999999999998E-5
15.0	0.030061542426243378	2.2000000000000003E-5
16.0	0.04163286338254407	2.6999999999999996E-5
17.0	0.05214770244501118	3.3E-5
18.0	0.060879469781628996	3.7000000000000005E-5
19.0	0.06699803915293472	4.7000000000000004E-5
20.0	0.06987578523532263	5.4999999999999995E-5
21.0	0.06930240067308308	6.400000000000001E-5
22.0	0.06674866849660813	9.3E-5
23.0	0.06338210243349122	1.66E-4
24.0	0.0600365297843205	3.03E-4
25.0	0.06249733111506037	7.059999999999999E-4
26.0	0.04837479719195827	0.0016020000000000001
27.0	0.04992519968857592	0.0033690000000000005
28.0	0.044763929993215865	0.006167999999999999
29.0	0.038423763474700494	0.010352
30.0	0.031733675622394854	0.015647
31.0	0.0254109880648243	0.022148
32.0	0.019929187815198614	0.028808
33.0	0.015523992035440862	0.035106000000000005
34.0	0.011934926885848482	0.041161
35.0	0.009072482669625775	0.047408
36.0	0.00691473293220673	0.052698999999999996
37.0	0.005177380196729127	0.057517000000000006
38.0	0.0038600823482990245	0.061487999999999994
39.0	0.0028361324707435005	0.063321
40.0	0.002064725587621985	0.060248
41.0	0.0014822283286620654	0.055508
42.0	0.0010437925414039108	0.051446000000000006
43.0	7.44379806500438E-4	0.048194
44.0	5.26577024478103E-4	0.044423
45.0	3.75704356251579E-4	0.040655000000000004
46.0	2.707372865206949E-4	0.03652
47.0	1.8999817155139866E-4	0.032315
48.0	1.363794372651634E-4	0.028137999999999996
49.0	9.943102871989223E-5	0.02458
50.0	7.137760741700116E-5	0.020810000000000002
51.0	5.361873428623528E-5	0.017532
52.0	3.181668513620573E-5	0.014506999999999997
53.0	2.516099538141783E-5	0.012007
54.0	1.5457372935185E-5	0.010018
55.0	1.128979149994397E-5	0.008414999999999999
56.0	7.588730374617987E-6	0.007258
57.0	5.4427369490088E-6	0.006174999999999999
58.0	3.390047585382624E-6	0.005363000000000001
59.0	2.8613245674789127E-6	0.0046159999999999994
60.0	2.0215880096318403E-6	0.003946
61.0	9.330406198300801E-7	0.0034579999999999993
62.0	8.086352038527361E-7	0.002915
63.0	4.3541895592070405E-7	0.0024610000000000005
64.0	9.330406198300802E-8	0.0019950000000000002
65.0	1.5550676997168E-7	0.0016779999999999998
66.0	0.0	0.0013500000000000003
67.0	8.086352038527362E-7	0.001069
68.0	0.0	8.119999999999999E-4
69.0	3.1101353994336005E-8	6.4E-4
70.0	1.2440541597734402E-7	5.05E-4
71.0	0.0	4.0299999999999993E-4
72.0	6.220270798867201E-8	3.2E-4
73.0	0.0	2.79E-4
74.0	3.1101353994336005E-8	2.0700000000000002E-4
75.0	2.1770947796035205E-7	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	0.0	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	1.2440541597734402E-7	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	3.1101353994336005E-8	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	3.1101353994336005E-8	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	3.1101353994336005E-8	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	1.1196487437960963E-6	0.0
