#Insert size (bp)	insert size
20.0	22.0
21.0	32.0
22.0	32.0
23.0	57.0
24.0	77.0
25.0	81.0
26.0	144.0
27.0	163.0
28.0	170.0
29.0	267.0
30.0	311.0
31.0	315.0
32.0	318.0
33.0	368.0
34.0	394.0
35.0	435.0
36.0	534.0
37.0	642.0
38.0	737.0
39.0	966.0
40.0	1141.0
41.0	1115.0
42.0	1122.0
43.0	1022.0
44.0	1078.0
45.0	1147.0
46.0	1223.0
47.0	1361.0
48.0	1577.0
49.0	2135.0
50.0	2490.0
51.0	2145.0
52.0	2048.0
53.0	1934.0
54.0	2018.0
55.0	2154.0
56.0	2268.0
57.0	2606.0
58.0	3431.0
59.0	4936.0
60.0	6619.0
61.0	6565.0
62.0	5081.0
63.0	3592.0
64.0	3411.0
65.0	3476.0
66.0	3780.0
67.0	4174.0
68.0	4976.0
69.0	6663.0
70.0	9546.0
71.0	11912.0
72.0	11783.0
73.0	9111.0
74.0	6930.0
75.0	6397.0
76.0	6790.0
77.0	7920.0
78.0	9721.0
79.0	12377.0
80.0	14614.0
81.0	15780.0
82.0	15835.0
83.0	14969.0
84.0	13810.0
85.0	13281.0
86.0	13570.0
87.0	14737.0
88.0	16358.0
89.0	19239.0
90.0	23234.0
91.0	26139.0
92.0	25579.0
93.0	22145.0
94.0	19761.0
95.0	19925.0
96.0	20817.0
97.0	23235.0
98.0	25738.0
99.0	30286.0
100.0	39379.0
101.0	52884.0
102.0	63373.0
103.0	61073.0
104.0	48468.0
105.0	38334.0
106.0	36976.0
107.0	39799.0
108.0	44965.0
109.0	52107.0
110.0	65970.0
111.0	88237.0
112.0	121095.0
113.0	153681.0
114.0	163435.0
115.0	145545.0
116.0	130422.0
117.0	136380.0
118.0	164452.0
119.0	207069.0
120.0	253511.0
121.0	262786.0
122.0	278968.0
123.0	289738.0
124.0	314101.0
125.0	337247.0
126.0	348474.0
127.0	375794.0
128.0	484626.0
129.0	659068.0
130.0	669859.0
131.0	585952.0
132.0	630833.0
133.0	644851.0
134.0	642242.0
135.0	650905.0
136.0	718416.0
137.0	800687.0
138.0	889963.0
139.0	1005047.0
140.0	1099156.0
141.0	1170028.0
142.0	1252659.0
143.0	1390962.0
144.0	1600202.0
145.0	1807281.0
146.0	1917617.0
147.0	1948591.0
148.0	1948135.0
149.0	1911179.0
150.0	1841577.0
151.0	1765340.0
152.0	1708785.0
153.0	1700067.0
154.0	1716855.0
155.0	1736516.0
156.0	1732488.0
157.0	1687468.0
158.0	1602762.0
159.0	1501215.0
160.0	1394405.0
161.0	1293687.0
162.0	1206981.0
163.0	1139481.0
164.0	1090222.0
165.0	1060308.0
166.0	1038213.0
167.0	1009991.0
168.0	976739.0
169.0	928852.0
170.0	871084.0
171.0	807003.0
172.0	747479.0
173.0	694240.0
174.0	648348.0
175.0	613851.0
176.0	588634.0
177.0	568645.0
178.0	552478.0
179.0	532037.0
180.0	508909.0
181.0	482120.0
182.0	451574.0
183.0	419771.0
184.0	392201.0
185.0	367998.0
186.0	348519.0
187.0	333247.0
188.0	319487.0
189.0	307709.0
190.0	295275.0
191.0	279723.0
192.0	263667.0
193.0	246086.0
194.0	229378.0
195.0	214258.0
196.0	200832.0
197.0	190127.0
198.0	181309.0
199.0	174099.0
200.0	166343.0
201.0	158187.0
202.0	150624.0
203.0	140656.0
204.0	131587.0
205.0	123756.0
206.0	116512.0
207.0	110442.0
208.0	105871.0
209.0	102305.0
210.0	98342.0
211.0	94171.0
212.0	90396.0
213.0	86707.0
214.0	82013.0
215.0	78286.0
216.0	75168.0
217.0	73023.0
218.0	71905.0
219.0	71175.0
220.0	71164.0
221.0	70594.0
222.0	69581.0
223.0	68349.0
224.0	67254.0
225.0	66654.0
226.0	65993.0
227.0	65915.0
228.0	65758.0
229.0	66226.0
230.0	67076.0
231.0	67986.0
232.0	69377.0
233.0	70458.0
234.0	70755.0
235.0	71436.0
236.0	71831.0
237.0	72007.0
238.0	72686.0
239.0	73359.0
240.0	74274.0
241.0	75687.0
242.0	77975.0
243.0	80128.0
244.0	81667.0
245.0	82605.0
246.0	82930.0
247.0	84224.0
248.0	84295.0
249.0	86838.0
250.0	89651.0
251.0	93834.0
252.0	96456.0
253.0	99649.0
254.0	102024.0
255.0	102902.0
256.0	104727.0
257.0	105647.0
258.0	109275.0
259.0	114274.0
260.0	120656.0
261.0	129035.0
262.0	137301.0
263.0	142437.0
264.0	145853.0
265.0	149549.0
266.0	153593.0
267.0	161405.0
268.0	169895.0
269.0	179258.0
270.0	188999.0
271.0	199337.0
272.0	209504.0
273.0	220189.0
274.0	231158.0
275.0	241628.0
276.0	254823.0
277.0	270886.0
278.0	288148.0
279.0	304444.0
280.0	315917.0
281.0	327609.0
282.0	339058.0
283.0	355205.0
284.0	374427.0
285.0	397629.0
286.0	420599.0
287.0	443456.0
288.0	464977.0
289.0	484314.0
290.0	498313.0
291.0	512696.0
292.0	526597.0
293.0	542323.0
294.0	556886.0
295.0	573060.0
296.0	587314.0
297.0	600680.0
298.0	612211.0
299.0	623945.0
300.0	634056.0
301.0	643747.0
302.0	653368.0
303.0	661307.0
304.0	666936.0
305.0	669402.0
306.0	670538.0
307.0	670126.0
308.0	671505.0
309.0	677210.0
310.0	685596.0
311.0	692922.0
312.0	697220.0
313.0	698162.0
314.0	696381.0
315.0	694398.0
316.0	687171.0
317.0	676981.0
318.0	672012.0
319.0	668217.0
320.0	667959.0
321.0	668909.0
322.0	669229.0
323.0	668496.0
324.0	665431.0
325.0	661076.0
326.0	656594.0
327.0	647588.0
328.0	642064.0
329.0	636690.0
330.0	631493.0
331.0	626734.0
332.0	620876.0
333.0	614386.0
334.0	605730.0
335.0	598056.0
336.0	591341.0
337.0	584303.0
338.0	578613.0
339.0	571703.0
340.0	562137.0
341.0	552645.0
342.0	541960.0
343.0	530303.0
344.0	519150.0
345.0	509501.0
346.0	497200.0
347.0	488629.0
348.0	477876.0
349.0	468782.0
350.0	457706.0
351.0	446630.0
352.0	433659.0
353.0	419147.0
354.0	405016.0
355.0	389656.0
356.0	376951.0
357.0	365247.0
358.0	354441.0
359.0	343229.0
360.0	334042.0
361.0	323230.0
362.0	310466.0
363.0	299141.0
364.0	285165.0
365.0	272369.0
366.0	260721.0
367.0	249370.0
368.0	238636.0
369.0	229144.0
370.0	221031.0
371.0	212629.0
372.0	203165.0
373.0	194539.0
374.0	185367.0
375.0	175776.0
376.0	166692.0
377.0	157842.0
378.0	149770.0
379.0	144588.0
380.0	137813.0
381.0	131180.0
382.0	126278.0
383.0	120662.0
384.0	115289.0
385.0	109873.0
386.0	104209.0
387.0	98946.0
388.0	93827.0
389.0	90327.0
390.0	86148.0
391.0	83315.0
392.0	80180.0
393.0	77504.0
394.0	73531.0
395.0	70864.0
396.0	67411.0
397.0	65166.0
398.0	62780.0
399.0	60296.0
400.0	58623.0
401.0	56431.0
402.0	54802.0
403.0	53912.0
404.0	52470.0
405.0	51013.0
406.0	49607.0
407.0	48202.0
408.0	47359.0
409.0	46433.0
410.0	46301.0
411.0	45851.0
412.0	46134.0
413.0	45358.0
414.0	45554.0
415.0	45264.0
416.0	44130.0
417.0	43872.0
418.0	43806.0
419.0	43482.0
420.0	43716.0
421.0	43898.0
422.0	44832.0
423.0	45390.0
424.0	46707.0
425.0	47180.0
426.0	47721.0
427.0	47373.0
428.0	47740.0
429.0	48247.0
430.0	49439.0
431.0	50907.0
432.0	51855.0
433.0	53606.0
434.0	54373.0
435.0	55099.0
436.0	55396.0
437.0	55639.0
438.0	55546.0
439.0	56008.0
440.0	56690.0
441.0	58430.0
442.0	59985.0
443.0	61937.0
444.0	63857.0
445.0	63960.0
446.0	63412.0
447.0	63638.0
448.0	63490.0
449.0	64432.0
450.0	65651.0
451.0	67774.0
452.0	69373.0
453.0	70652.0
454.0	70834.0
455.0	71150.0
456.0	70829.0
457.0	71631.0
458.0	73415.0
459.0	74996.0
460.0	76033.0
461.0	76548.0
462.0	75750.0
463.0	75106.0
464.0	74960.0
465.0	75005.0
466.0	74780.0
467.0	75701.0
468.0	75342.0
469.0	75861.0
470.0	75946.0
471.0	75454.0
472.0	75090.0
473.0	74530.0
474.0	74422.0
475.0	73828.0
476.0	74574.0
477.0	74510.0
478.0	74868.0
479.0	75218.0
480.0	74979.0
481.0	75147.0
482.0	74662.0
483.0	74585.0
484.0	75554.0
485.0	75322.0
486.0	75758.0
487.0	75795.0
488.0	75778.0
489.0	75480.0
