File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
BACW_44_1_val_1_bismark_bt2_pe.bam	201671377	158568988	34097254	9005066	69	24009708	134559280	5623447768	193179070	87150761	3679534	1214089194	11973683	4113375526
BACW_51_1_val_1_bismark_bt2_pe.bam	220827700	177298663	33151009	10377931	97	35766674	141531989	6081950931	208012531	92859832	4260750	1302692663	14098872	4460026283
BACW_50_1_val_1_bismark_bt2_pe.bam	225577311	168178005	47788663	9610584	59	30926576	137251429	5911491681	208360250	96941304	3875154	1301374450	12217928	4288722595
BACW_52_1_val_1_bismark_bt2_pe.bam	242180236	191775627	39241987	11162504	118	49685339	142090288	6399619119	216691769	102487306	4050117	1378178283	13239165	4684972479
BACW_75_1_val_1_bismark_bt2_pe.bam	196049781	138012953	50326071	7710654	103	29439846	108573107	4935324144	159706483	73952605	4733310	1035197264	15893992	3645840490
BACW_77_1_val_1_bismark_bt2_pe.bam	221071424	181192198	30536981	9342084	161	32274377	148917821	7223850857	269425294	73154103	5174038	1517623433	17546403	5340927586
BACW_76_1_val_1_bismark_bt2_pe.bam	235480009	191966906	32695263	10817679	161	43330980	148635926	6768264233	223954327	95021763	5359272	1418410349	18454734	5007063788
BACW_61_1_val_1_bismark_bt2_pe.bam	218982993	172859010	34636643	11487262	78	25960600	146898410	6492748605	240203773	111031865	5937744	1449209261	17974859	4668391103
BACW_64_1_val_1_bismark_bt2_pe.bam	250540887	201764575	36811737	11964526	49	40055475	161709100	6912194921	246526223	109094510	11508449	1503687915	40332256	5001045568
BACW_62_1_val_1_bismark_bt2_pe.bam	198924931	159317429	29092608	10514833	61	24629557	134687872	5425203993	199397800	87330689	5170879	1200835247	15823376	3916646002
BACW_63_1_val_1_bismark_bt2_pe.bam	209284391	171402595	28036224	9845505	67	27187265	144215330	6402465398	219191614	105739059	9291001	1381994985	32607767	4653640972
BACW_53_1_val_1_bismark_bt2_pe.bam	206492622	166677902	30812900	9001735	85	23469667	143208235	6393950084	215876076	101347787	4717008	1377487544	15037154	4679484515
BACW_54_1_val_1_bismark_bt2_pe.bam	266137639	217993665	36186295	11957593	86	43143367	174850298	7583374705	258026902	123788540	5040438	1632551882	16231900	5547735043
BACW_55_1_val_1_bismark_bt2_pe.bam	251567558	203821477	36531909	11214110	62	31089423	172732054	7918495645	269427309	130870002	8673633	1717740564	28359260	5763424877
BACW_57_1_val_1_bismark_bt2_pe.bam	217766729	173899007	32901637	10966030	55	24361181	149537826	6736035190	245683418	123690048	6581863	1511789945	19557614	4828732302
BACW_65_1_val_1_bismark_bt2_pe.bam	215769425	174616566	30411428	10741353	78	30432186	144184380	6412346447	231978286	102925075	5722745	1412531249	17832271	4641356821
BACW_59_1_val_1_bismark_bt2_pe.bam	220788501	176454840	33571637	10761971	53	30509153	145945687	6586536904	238820496	117038260	7075541	1460641460	21916823	4741044324
BACW_55_1_val_1_bismark_bt2_pe.bam	251567558	203821477	36531909	11214110	62	31089423	172732054	7918495645	269427309	130870002	8673633	1717740564	28359260	5763424877
BACW_42_1_val_1_bismark_bt2_pe.bam	206347735	168755576	26877973	10714122	64	23078904	145676672	5976834401	210300616	95461531	4163193	1308239843	13020522	4345648696
BACW_43_1_val_1_bismark_bt2_pe.bam	205070296	165880145	30254579	8935484	88	25427163	140452982	6403412506	211792018	106304516	5464159	1371771075	17581902	4690498836
BACW_45_1_val_1_bismark_bt2_pe.bam	239131923	190858004	35324995	12948873	51	28063616	162794388	6784167146	245786050	111108910	5997245	1496516387	18396204	4906362350
BACW_47_1_val_1_bismark_bt2_pe.bam	229067300	181496815	37224103	10346303	79	27070586	154426229	6807952570	239903170	113619135	5085001	1498122732	15807617	4935414915
BACW_66_1_val_1_bismark_bt2_pe.bam	256152502	208653410	37457097	10041914	81	37780002	170873408	8555598104	341130360	82164686	6837567	1837731295	21834349	6265899847
