Sample	Aligned Uniquely	Aligned Ambiguously	Did Not Align	No Genomic Sequence
BACW_42_1_val_1	168755640.0	10714122.0	26877973.0	64.0
BACW_44_1_val_1	158569057.0	9005066.0	34097254.0	69.0
BACW_45_1_val_1	190858055.0	12948873.0	35324995.0	51.0
BACW_47_1_val_1	181496894.0	10346303.0	37224103.0	79.0
BACW_48_1_val_1	205855347.0	12706689.0	37608558.0	86.0
BACW_50_1_val_1	168178064.0	9610584.0	47788663.0	59.0
BACW_52_1_val_1	191775745.0	11162504.0	39241987.0	118.0
BACW_53_1_val_1	166677987.0	9001735.0	30812900.0	85.0
BACW_55_1_val_1	203821539.0	11214110.0	36531909.0	62.0
BACW_56_1_val_1	192662120.0	12837869.0	84217554.0	341.0
BACW_57_1_val_1	173899062.0	10966030.0	32901637.0	55.0
BACW_58_1_val_1	142509091.0	9782857.0	81839857.0	438.0
BACW_59_1_val_1	176454893.0	10761971.0	33571637.0	53.0
BACW_61_1_val_1	172859088.0	11487262.0	34636643.0	78.0
BACW_64_1_val_1	201764624.0	11964526.0	36811737.0	49.0
