Sample	Deduplicated reads (remaining)	Duplicate reads (removed)
BACW_44_1_val_1	134559280.0	24009708.0
BACW_45_1_val_1	162794388.0	28063616.0
BACW_48_1_val_1	175677322.0	30177939.0
BACW_50_1_val_1	137251429.0	30926576.0
BACW_52_1_val_1	142090288.0	49685339.0
BACW_53_1_val_1	143208235.0	23469667.0
BACW_55_1_val_1	172732054.0	31089423.0
BACW_56_1_val_1	163854564.0	28807215.0
BACW_57_1_val_1	149537826.0	24361181.0
BACW_58_1_val_1	124671727.0	17836926.0
BACW_59_1_val_1	145945687.0	30509153.0
BACW_61_1_val_1	146898410.0	25960600.0
BACW_64_1_val_1	161709100.0	40055475.0
