Sample	Original bottom strand	Original top strand
BACW_42_1_val_1	84373460.0	84382116.0
BACW_44_1_val_1	79293743.0	79275245.0
BACW_45_1_val_1	95437788.0	95420216.0
BACW_47_1_val_1	90797356.0	90699459.0
BACW_48_1_val_1	102935587.0	102919674.0
BACW_50_1_val_1	91874831.0	76303174.0
BACW_52_1_val_1	95900160.0	95875467.0
BACW_53_1_val_1	83361964.0	83315938.0
BACW_55_1_val_1	101943823.0	101877654.0
BACW_56_1_val_1	95622137.0	97039642.0
BACW_57_1_val_1	86965161.0	86933846.0
BACW_58_1_val_1	60245825.0	82262828.0
BACW_59_1_val_1	88251505.0	88203335.0
BACW_61_1_val_1	86456235.0	86402775.0
BACW_64_1_val_1	100886680.0	100877895.0
