Sample	Reads passing filters
BACW_1	219074893.0
BACW_2	219074893.0
BACW_42_1	206429352.0
BACW_42_2	206429352.0
BACW_45_1	239230044.0
BACW_45_2	239230044.0
BACW_47_1	229174399.0
BACW_47_2	229174399.0
BACW_48_1	256289364.0
BACW_48_2	256289364.0
BACW_50_1	225699042.0
BACW_50_2	225699042.0
BACW_52_1	242548220.0
BACW_52_2	242548220.0
BACW_53_1	206577036.0
BACW_53_2	206577036.0
BACW_55_1	251688266.0
BACW_55_2	251688266.0
BACW_56_1	289829482.0
BACW_56_2	289829482.0
BACW_57_1	217871798.0
BACW_57_2	217871798.0
BACW_58_1	234217760.0
BACW_58_2	234217760.0
BACW_59_1	220881881.0
BACW_59_2	220881881.0
BACW_64_1	250636042.0
BACW_64_2	250636042.0
