.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
BACW_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
BACW_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
BACW_42_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_42_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_42_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_42_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
BACW_45_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_45_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_45_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_45_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
BACW_47_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_47_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_47_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_47_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_48_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_48_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_48_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_48_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_50_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_50_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_50_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_50_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
BACW_52_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_52_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_52_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_52_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_53_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_53_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_53_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_53_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_55_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_55_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_55_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_55_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_56_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_56_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_56_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_56_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_57_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_57_1_val_1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
BACW_57_2	1	1	1	1	0.25	1	1	1	1	1	0.25
BACW_57_2_val_2	1	1	1	1	0.25	1	1	0.5	1	0.5	0.25
BACW_58_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_58_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_58_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_58_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
BACW_59_1	1	1	1	1	0.25	0.5	1	1	1	1	1
BACW_59_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_59_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_59_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
BACW_64_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
BACW_64_1_val_1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
BACW_64_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
BACW_64_2_val_2	1	1	1	1	0.25	0.5	1	0.5	1	1	0.25
