Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BACW_1 - illumina_universal_adapter	(1, 4.108184135915566e-06)	(2, 6.846973559859276e-06)	(3, 1.8715061063615356e-05)	(4, 2.3736175007512155e-05)	(5, 3.332193799131514e-05)	(6, 3.97124466471838e-05)	(7, 4.564649039906184e-05)	(8, 5.3862858670892975e-05)	(9, 6.299215675070533e-05)	(10, 7.622963896643328e-05)	(12, 0.00010293283584988445)	(14, 0.00013808063345716206)	(16, 0.00017939070726831304)	(18, 0.00021522320223157657)	(20, 0.0002647496443145586)	(22, 0.00032682887125728277)	(24, 0.0003957550717598662)	(26, 0.0004610295530305246)	(28, 0.0005384003542569344)	(30, 0.000806801717803418)	(32, 0.004520371944219094)	(34, 0.004629923521176842)	(36, 0.004757961926746211)	(38, 0.004914757621266988)	(40, 0.005101451766999152)	(42, 0.005338128819718287)	(44, 0.005630951055628269)	(46, 0.005994525351656796)	(48, 0.00648431219363873)	(50, 0.007140708725577239)	(52, 0.007877443080618097)	(54, 0.0086801366142856)	(56, 0.009639169377569888)	(58, 0.010890111446956178)	(60, 0.012641567283568182)	(62, 0.014605963997891807)	(64, 0.016452136302081866)	(66, 0.018498696699123802)	(68, 0.020963835413125135)	(70, 0.02429465981754468)	(72, 0.027787072797976903)	(74, 0.03102181134010642)	(76, 0.03458817163498512)	(78, 0.038915002459912196)	(80, 0.045929042174632034)	(82, 0.054398292003273965)	(84, 0.060099082189212796)	(86, 0.06541301836901958)	(88, 0.07162299515535996)	(90, 0.0811523847235201)	(92, 0.09564560189012622)	(94, 0.10794025584666153)	(96, 0.11757691466725947)	(98, 0.12935804560680533)	(100, 0.14632279199606868)	(102, 0.16673955422176107)	(104, 0.18658436592275318)	(106, 0.20516659569930729)	(108, 0.22599782805782312)	(110, 0.25146834146804764)	(112, 0.2831853488569318)	(114, 0.3115151584257535)	(116, 0.3372193818668212)	(118, 0.3669792959798456)	(120, 0.4053408347436691)	(122, 0.46557206352258723)	(124, 0.5316120364372379)	(126, 0.5782912786815786)	(128, 0.6269123226274953)	(130, 0.6923353832244026)	(132, 0.8007044878483633)	(134, 0.9763126986897581)	(136, 1.1484150308360528)	(138, 1.3211614349618785)
BACW_1 - polya	(1, 0.017379444754538804)	(2, 0.04524114956431817)	(3, 0.06212076524898725)	(4, 0.07603290259281331)	(5, 0.10161867339129546)	(6, 0.11054438812392801)	(7, 0.12022372641304907)	(8, 0.12624906314572523)	(9, 0.13114054105688872)	(10, 0.1399188176255323)	(12, 0.15465806937538934)	(14, 0.16789714921828125)	(16, 0.18192979329676084)	(18, 0.1963588771443563)	(20, 0.2136559299837248)	(22, 0.23104427580389142)	(24, 0.24702990497409485)	(26, 0.26987254993204535)	(28, 0.2898495082227428)	(30, 0.32090920614988044)	(32, 0.3399166329845018)	(34, 0.35779042923006243)	(36, 0.37305598501422066)	(38, 0.38864312032324033)	(40, 0.4076971065780687)	(42, 0.426512133455658)	(44, 0.44546455626934844)	(46, 0.463199587184096)	(48, 0.47667876756648697)	(50, 0.4899920229562773)	(52, 0.5046589250188519)	(54, 0.523533520566412)	(56, 0.543479439243638)	(58, 0.5582061382086353)	(60, 0.5754233096898055)	(62, 0.5979975532842096)	(64, 0.6151186389030896)	(66, 0.6309607098609881)	(68, 0.6459108483964888)	(70, 0.6623508883786149)	(72, 0.6788810801792791)	(74, 0.6929837916205213)	(76, 0.7101852150625038)	(78, 0.7262774287877891)	(80, 0.743208625006609)	(82, 0.7591673227474771)	(84, 0.7800581237759636)	(86, 0.8070272114659893)	(88, 0.8245383463453295)	(90, 0.8399198442151014)	(92, 0.8578294729556253)	(94, 0.8836886662315978)	(96, 0.9038039333882044)	(98, 0.924011178222965)	(100, 0.9434145883617983)	(102, 0.9633365426315648)	(104, 0.983226087893148)	(106, 1.0019477676978714)	(108, 1.0249551964861623)	(110, 1.0471948513059413)	(112, 1.0703154833904223)	(114, 1.0891875683810102)	(116, 1.109785775406039)	(118, 1.1333005649351156)	(120, 1.1527562403054556)	(122, 1.1690326376195013)	(124, 1.188119717579869)	(126, 1.212926987484595)	(128, 1.2374129060969117)	(130, 1.2562340952507052)	(132, 1.276091687969009)	(134, 1.2983477755253314)	(136, 1.3192972322939807)	(138, 1.3408366699510381)
BACW_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.004044279049356879)	(4, 0.005723156966234374)	(5, 0.006570812292944952)	(6, 0.007219448921515621)	(7, 0.007619312177411402)	(8, 0.00791920961933324)	(9, 0.008211803622791225)	(10, 0.008556891090208133)	(12, 0.00883487821673842)	(14, 0.009035722774494291)	(16, 0.00921967813080251)	(18, 0.009358215229163663)	(20, 0.009488535959252985)	(22, 0.009590784097746885)	(24, 0.009688011122296884)	(26, 0.009797106234350643)	(28, 0.009904147254336443)	(30, 0.010040173795725648)	(32, 0.010175972104662857)	(34, 0.010332996031635629)	(36, 0.01050759385741204)	(38, 0.010692233911076245)	(40, 0.010885775030368267)	(42, 0.011086847820576135)	(44, 0.01131827552689938)	(46, 0.011564766575054312)	(48, 0.011829972684272862)	(50, 0.012095635258395403)	(52, 0.012353766161602097)	(54, 0.012668726945355624)	(56, 0.012996696978872882)	(58, 0.013313940087146363)	(60, 0.013628216173543903)	(62, 0.013983117636396609)	(64, 0.014347148397329128)	(66, 0.014716656737109531)	(68, 0.015154863044940526)	(70, 0.016646818583633864)	(72, 0.01727308843190899)	(74, 0.01789251130662426)	(76, 0.0185669382022704)	(78, 0.019273545873647876)	(80, 0.020027854127492375)	(82, 0.020875737686654947)	(84, 0.02187242880451846)	(86, 0.022950142442840313)	(88, 0.024092674097528827)	(90, 0.02536164653062275)	(92, 0.02671232618153099)	(94, 0.02818716428632468)	(96, 0.029734580310852875)	(98, 0.031472798665249144)	(100, 0.03344449881803663)	(102, 0.03844233305182991)	(104, 0.04102934789519673)	(106, 0.04321969473699572)	(108, 0.04555496918581172)	(110, 0.04802467254885296)	(112, 0.05064249877323916)	(114, 0.053501110234480405)	(116, 0.05658955177488093)	(118, 0.05980192353671491)	(120, 0.06325781932482788)	(122, 0.06702616533972243)	(124, 0.07116242206723342)	(126, 0.07560793376719804)	(128, 0.08088010340828969)	(130, 0.08628122438475869)	(132, 0.09231820097248661)	(134, 0.09892370459813485)	(136, 0.10552030715815527)	(138, 0.11261126120919754)
BACW_2 - illumina_universal_adapter	(1, 3.6517192319249474e-06)	(2, 5.477578847887421e-06)	(3, 1.5063341831690408e-05)	(4, 1.7802131255634118e-05)	(5, 2.601849952746525e-05)	(6, 3.240900818333391e-05)	(7, 3.743012212723071e-05)	(8, 4.336416587910875e-05)	(9, 4.9298209630986785e-05)	(10, 6.048159977875694e-05)	(12, 8.398954233427379e-05)	(14, 0.00011662678296960302)	(16, 0.00015268751038486185)	(18, 0.00018692237818415824)	(20, 0.00023439472819918256)	(22, 0.00029829981475786916)	(24, 0.0003692801073284103)	(26, 0.00043980393499496085)	(28, 0.0005215111528092815)	(30, 0.0007958465601076432)	(32, 0.004511927343495268)	(34, 0.004630151753628837)	(36, 0.004769145316893981)	(38, 0.004933016217426613)	(40, 0.005127470266526617)	(42, 0.005364832016601738)	(44, 0.005669065875111485)	(46, 0.006046562350711727)	(48, 0.006553238394141313)	(50, 0.007217623061899658)	(52, 0.00796439964482831)	(54, 0.008774624849411657)	(56, 0.009737537564379867)	(58, 0.010981404427754301)	(60, 0.012748151838649992)	(62, 0.014733317706105191)	(64, 0.01659181456270299)	(66, 0.018645906630660777)	(68, 0.02111971817783793)	(70, 0.024430686358933883)	(72, 0.02793222863744592)	(74, 0.031161946065631538)	(76, 0.03471210185641857)	(78, 0.03905947360202522)	(80, 0.046052287698709504)	(82, 0.0544553501162728)	(84, 0.06011756901782442)	(86, 0.06539635740002392)	(88, 0.07157575103779693)	(90, 0.08103142152396259)	(92, 0.09549359907709734)	(94, 0.10767116978575907)	(96, 0.11724346705489433)	(98, 0.12895316123696565)	(100, 0.1458293534348548)	(102, 0.16602336078739977)	(104, 0.1856403965013006)	(106, 0.20397590699724774)	(108, 0.22438696341164022)	(110, 0.2494806650436205)	(112, 0.2805853247638012)	(114, 0.3082612483576564)	(116, 0.33338188141897207)	(118, 0.36242446093537517)	(120, 0.39955514208558807)	(122, 0.457750537392708)	(124, 0.5218035185802875)	(126, 0.5669898923561267)	(128, 0.6133290682469944)	(130, 0.675823221787446)	(132, 0.7792531479177762)	(134, 0.9457478087185464)	(136, 1.1084821116402417)	(138, 1.2711344791116708)
BACW_2 - polya	(1, 0.4789179561530129)	(2, 0.6837228034159076)	(3, 0.8088311607665604)	(4, 0.9560556991804624)	(5, 1.0977538170017502)	(6, 1.1945239201828572)	(7, 1.2844926962945042)	(8, 1.3772554940834776)	(9, 1.4759340770281695)	(10, 1.6358629466499386)	(12, 1.8422729527477162)	(14, 2.0301828927516583)	(16, 2.2132944736848508)	(18, 2.396747946831132)	(20, 2.5846428234932426)	(22, 2.7671637388406713)	(24, 2.952166682103549)	(26, 3.150200328980647)	(28, 3.346827835721002)	(30, 3.557926421080119)	(32, 3.753270576742904)	(34, 3.9494820157232713)	(36, 4.139415692879056)	(38, 4.324319583257767)	(40, 4.512550189856762)	(42, 4.701025918109201)	(44, 4.891698155479642)	(46, 5.077794560420029)	(48, 5.248041590964054)	(50, 5.415728538094047)	(52, 5.586064807526803)	(54, 5.761130509829805)	(56, 5.932795776830529)	(58, 6.092103625950418)	(60, 6.262305238236497)	(62, 6.443250893200254)	(64, 6.618368176037407)	(66, 6.792851657355369)	(68, 6.968886206417091)	(70, 7.1501027733013665)	(72, 7.329178063321022)	(74, 7.506733781675292)	(76, 7.6908308703362005)	(78, 7.870663663864029)	(80, 8.046142466905142)	(82, 8.215810243486004)	(84, 8.396012317121158)	(86, 8.581322461264422)	(88, 8.744860827114497)	(90, 8.905458646053065)	(92, 9.072389230837146)	(94, 9.249674721968255)	(96, 9.41648000713619)	(98, 9.585459891106737)	(100, 9.75398878775214)	(102, 9.92130691123971)	(104, 10.088385390652684)	(106, 10.253681602848026)	(108, 10.42489953424284)	(110, 10.591781733747098)	(112, 10.759302755884491)	(114, 10.919648834428507)	(116, 11.083656674432337)	(118, 11.253268077597555)	(120, 11.415478587041921)	(122, 11.572234340883599)	(124, 11.736401943603825)	(126, 11.914777472925664)	(128, 12.093441488066823)	(130, 12.261691712888341)	(132, 12.433325255578238)	(134, 12.610141957252946)	(136, 12.783143753492556)	(138, 12.953403108588988)
BACW_2 - polyg	(1, 0.03108297763724116)	(2, 0.032390749587174285)	(3, 0.03274314049305504)	(4, 0.03303573449651303)	(5, 0.033315547482659275)	(6, 0.03357984066206984)	(7, 0.0338350045434006)	(8, 0.034112078740122904)	(9, 0.03442612659406845)	(10, 0.034897654839890754)	(12, 0.03559330735357246)	(14, 0.03620360093020791)	(16, 0.036815263901555345)	(18, 0.03741003767145512)	(20, 0.03799568214327509)	(22, 0.03858452186942299)	(24, 0.03918819670495058)	(26, 0.03986581885492465)	(28, 0.040561243136154355)	(30, 0.04126168853132796)	(32, 0.042010519206324565)	(34, 0.0428022575822963)	(36, 0.04365219523352683)	(38, 0.04449619884100548)	(40, 0.045330844917952334)	(42, 0.046188086007646706)	(44, 0.047125208455539455)	(46, 0.048106607999119276)	(48, 0.04902592831575638)	(50, 0.050023760595879874)	(52, 0.05108778028708201)	(54, 0.052092231308313364)	(56, 0.05316538029759531)	(58, 0.05425770081284485)	(60, 0.05541187232258514)	(62, 0.05661625497176438)	(64, 0.05793749263636523)	(66, 0.059124757851644824)	(68, 0.060328227571016094)	(70, 0.061706751581067754)	(72, 0.06310764237141497)	(74, 0.06447087480718294)	(76, 0.06588112312806196)	(78, 0.0674025206530627)	(80, 0.06892848282710334)	(82, 0.07055874723170583)	(84, 0.07214519100552522)	(86, 0.07364581937739438)	(88, 0.0751768026653789)	(90, 0.076875308573128)	(92, 0.07867766024653497)	(94, 0.08040720576775542)	(96, 0.08209818000458866)	(98, 0.08391262799795138)	(100, 0.0858475827259676)	(102, 0.08792335687686494)	(104, 0.09007513243427671)	(106, 0.09286207890559144)	(108, 0.0978500991439489)	(110, 0.10029971805121457)	(112, 0.10272423138876073)	(114, 0.10520899809363367)	(116, 0.10776999443747304)	(118, 0.11052612952776839)	(120, 0.11345161309744425)	(122, 0.11656128025588035)	(124, 0.11984371938047689)	(126, 0.12351666423043739)	(128, 0.1272427872417128)	(130, 0.13093421892028495)	(132, 0.1349645757900701)	(134, 0.13960317214442278)	(136, 0.14455787044478896)	(138, 0.14976796085893784)
BACW_42_1 - illumina_universal_adapter	(1, 4.359845105748334e-06)	(2, 6.297554041636482e-06)	(3, 1.3079535317245001e-05)	(4, 1.8892662124909447e-05)	(5, 2.3736934464629816e-05)	(6, 2.7127925102434076e-05)	(7, 3.294105191009852e-05)	(8, 3.826975148379093e-05)	(9, 4.553615999337148e-05)	(10, 5.183371403500797e-05)	(12, 6.78198127560852e-05)	(14, 9.107231998674298e-05)	(16, 0.00011771581785520501)	(18, 0.00014072611146887678)	(20, 0.0001593765599768002)	(22, 0.00018262906720745799)	(24, 0.0002114524876287942)	(26, 0.0002465734620917669)	(28, 0.0002955006127229426)	(30, 0.0006302398313976202)	(32, 0.005060084672454913)	(34, 0.0051586656145682225)	(36, 0.005305931493695722)	(38, 0.005540152061321202)	(40, 0.005942468879134979)	(42, 0.0064143010050237426)	(44, 0.007025890387913439)	(46, 0.00792014306182582)	(48, 0.009386019871825205)	(50, 0.01197843221442656)	(52, 0.014987694191860855)	(54, 0.017904672781223478)	(56, 0.021323033557747156)	(58, 0.025929694339204244)	(60, 0.03284997959011178)	(62, 0.040699154062160695)	(64, 0.04796677363982618)	(66, 0.05544293914171663)	(68, 0.06389377223835882)	(70, 0.07573608040003924)	(72, 0.08844527109691261)	(74, 0.09948028127317862)	(76, 0.1109856702936315)	(78, 0.12417928822447691)	(80, 0.1448156461780687)	(82, 0.16891565885456056)	(84, 0.18477265771778423)	(86, 0.19894748301104004)	(88, 0.21499897940870347)	(90, 0.2389626258188322)	(92, 0.2755313110705303)	(94, 0.30593420648823233)	(96, 0.3277789681769674)	(98, 0.35183078034367904)	(100, 0.3850077483167219)	(102, 0.42723623915653236)	(104, 0.469461096792088)	(106, 0.5065304375900962)	(108, 0.5453621246652947)	(110, 0.5951544623363445)	(112, 0.6606492665829808)	(114, 0.7203316706628038)	(116, 0.7731630625861772)	(118, 0.8324194129137217)	(120, 0.90895116504556)	(122, 1.0302057238449307)	(124, 1.163631032470615)	(126, 1.2602231585748522)	(128, 1.3600553762335115)	(130, 1.4872882515273314)	(132, 1.6846543218330696)	(134, 1.9917230569032642)	(136, 2.294048280498405)	(138, 2.5906817263079915)
BACW_42_1 - polya	(1, 0.02101300012800505)	(2, 0.047220513485892256)	(3, 0.0635805900315959)	(4, 0.07664898352245954)	(5, 0.10018972495733068)	(6, 0.10878007309735681)	(7, 0.1182443279674685)	(8, 0.1242938552653113)	(9, 0.12944137905349817)	(10, 0.13859874927088855)	(12, 0.15344256857425972)	(14, 0.16650296901576284)	(16, 0.18033457761374944)	(18, 0.19447718849594606)	(20, 0.21102522280843083)	(22, 0.22727969421712857)	(24, 0.2421104339851825)	(26, 0.26286547661109744)	(28, 0.2812378638867209)	(30, 0.30811170690493667)	(32, 0.3246725785391217)	(34, 0.34044020057767754)	(36, 0.3546673440122023)	(38, 0.3687842802509984)	(40, 0.386271376756538)	(42, 0.4028538054026348)	(44, 0.4189108727134889)	(46, 0.4342560742040211)	(48, 0.4462395929044044)	(50, 0.45768127974358996)	(52, 0.47038417288642165)	(54, 0.48607549763562696)	(56, 0.5025094493345112)	(58, 0.5154070822253998)	(60, 0.5297921489381994)	(62, 0.547902703293861)	(64, 0.5623226487675066)	(66, 0.5759488602182892)	(68, 0.5890322709534059)	(70, 0.603114328431356)	(72, 0.6168560757774408)	(74, 0.6291668250743722)	(76, 0.6436577391377947)	(78, 0.6572284836702873)	(80, 0.6717261797149855)	(82, 0.686252214752871)	(84, 0.7053323502173277)	(86, 0.7307536381744781)	(88, 0.747388627175461)	(90, 0.7620820318226837)	(92, 0.7788863281419398)	(94, 0.8015567960509802)	(96, 0.8197170041981239)	(98, 0.837958596120575)	(100, 0.8558446184532904)	(102, 0.874268355015715)	(104, 0.892424687744987)	(106, 0.9096259721824831)	(108, 0.9302446485420348)	(110, 0.9505358520914216)	(112, 0.9718947332644827)	(114, 0.9894351167657591)	(116, 1.0083294743859876)	(118, 1.029125935540407)	(120, 1.0466394333301983)	(122, 1.0616227676769532)	(124, 1.0793535310811806)	(126, 1.1020659019459598)	(128, 1.1247918367732899)	(130, 1.142494745611564)	(132, 1.161532978120282)	(134, 1.1833324458626406)	(136, 1.2038777314962457)	(138, 1.224765749397886)
BACW_42_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.006508279888414318)	(4, 0.007689313484838144)	(5, 0.008457130650683823)	(6, 0.009163425557815054)	(7, 0.009651243782424894)	(8, 0.009984529719397657)	(9, 0.01028729674063018)	(10, 0.010707537366100922)	(12, 0.01098559859840087)	(14, 0.01119971543581651)	(16, 0.011367085045153848)	(18, 0.011498849252794244)	(20, 0.011617776138734378)	(22, 0.011721201353187409)	(24, 0.011822688858704552)	(26, 0.011914730033159238)	(28, 0.012023726160802946)	(30, 0.012160092427166074)	(32, 0.012288950071402637)	(34, 0.012439849154784927)	(36, 0.012598256860293783)	(38, 0.012764899828780162)	(40, 0.012970781403218279)	(42, 0.013171334278082703)	(44, 0.01339538187379477)	(46, 0.013622578246527656)	(48, 0.013871331631172296)	(50, 0.014141399814111708)	(52, 0.014394513043862096)	(54, 0.014694615715307772)	(56, 0.01501651761228219)	(58, 0.015347623626702079)	(60, 0.015649664007083643)	(62, 0.01600281146064926)	(64, 0.016387446684423056)	(66, 0.016790247929470807)	(68, 0.017242218538766715)	(70, 0.019206086545289353)	(72, 0.019823489054986716)	(74, 0.020366047557035395)	(76, 0.02100088944715575)	(78, 0.021684174060673307)	(80, 0.022376178364402366)	(82, 0.023151019725140637)	(84, 0.024041396981181243)	(86, 0.02500322725423272)	(88, 0.0260118047553625)	(90, 0.027104914808820404)	(92, 0.02819850928951228)	(94, 0.02946310658379628)	(96, 0.030733274791270963)	(98, 0.03216669497659422)	(100, 0.03400703403845399)	(102, 0.039370370159375404)	(104, 0.04151541395140358)	(106, 0.04336374606262389)	(108, 0.04522685320448034)	(110, 0.047287122230563416)	(112, 0.04949489934939097)	(114, 0.05185478661968575)	(116, 0.05460802880396583)	(118, 0.05782220350137029)	(120, 0.062023883115226754)	(122, 0.06740562747103909)	(124, 0.0730257100259657)	(126, 0.07914136164124566)	(128, 0.08661583164781722)	(130, 0.09570344434351565)	(132, 0.10662824732405302)	(134, 0.11808979567983142)	(136, 0.12958331623305197)	(138, 0.1420003973078402)
BACW_42_1_val_1 - polya	(1, 0.05493978404948327)	(2, 0.06257107692507505)	(3, 0.07029444738029231)	(4, 0.07565530098985579)	(5, 0.08334862507698473)	(6, 0.09016478906347095)	(7, 0.09663590443578167)	(8, 0.10404960345215324)	(9, 0.11123553161366176)	(10, 0.12430303632845788)	(12, 0.14066473760906562)	(14, 0.1555561053287064)	(16, 0.17634528433277932)	(18, 0.19475062326223258)	(20, 0.22164503041431494)	(22, 0.238232079455585)	(24, 0.2540241112896151)	(26, 0.26826366666927554)	(28, 0.28239636359468645)	(30, 0.2998915883423678)	(32, 0.3164813027872586)	(34, 0.33254278269640325)	(36, 0.34789066136345037)	(38, 0.3598808583966284)	(40, 0.3713265861629157)	(42, 0.38402359977442935)	(44, 0.39970925777304994)	(46, 0.4161426826419975)	(48, 0.42903645150260555)	(50, 0.4434160617270647)	(52, 0.461518029262594)	(54, 0.47592187042906)	(56, 0.48953239055422637)	(58, 0.5025998952690225)	(60, 0.5166594147495731)	(62, 0.5303792164231897)	(64, 0.5426662424959499)	(66, 0.5571161224522285)	(68, 0.5706597651774563)	(70, 0.5851273337213999)	(72, 0.59961840627909)	(74, 0.6186421188485544)	(76, 0.6439976188737909)	(78, 0.6605822448208603)	(80, 0.6752196722682708)	(82, 0.6919530761992614)	(84, 0.7145346179835703)	(86, 0.7326184123125945)	(88, 0.7507770802524195)	(90, 0.7685548377838991)	(92, 0.7868596183040245)	(94, 0.8048758083048502)	(96, 0.8219254260290281)	(98, 0.8423632563740038)	(100, 0.8624824498315913)	(102, 0.8836384852976458)	(104, 0.9008853428897584)	(106, 0.9193999633676618)	(108, 0.9397667970525578)	(110, 0.9568219878933976)	(112, 0.9712701716837358)	(114, 0.9881513843609672)	(116, 1.0088332202919503)	(118, 1.0242501571437166)										
