Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
BACW_1	(1, 0.005988819540356913)	(2, 0.06313503026565441)	(3, 0.0003291111957772359)	(4, 0.10555066207427065)	(5, 0.0)	(6, 0.000784663169959873)	(7, 0.004461944436508295)	(8, 4.1538306263146274e-05)	(9, 0.007134089984469375)	(10, 0.0030930061894404305)	(15, 7.17562829073252e-05)	(20, 1.2781017311737315e-06)	(25, 0.00043218097109831754)	(30, 0.00025498129536915946)	(35, 9.90528841659642e-05)	(40, 9.311884041408616e-06)	(45, 0.017054624328859083)	(50, 0.00014442549562263167)	(55, 1.3328775196526059e-05)	(60, 9.585762983802986e-06)	(65, 0.0010109784693584218)	(70, 0.0001406824834099086)	(75, 0.00045445645841305974)	(80, 1.186808750375608e-05)	(85, 0.000523382658915643)	(90, 0.0010659368437988923)	(95, 0.00035257349184235364)	(100, 0.0030857940439573783)	(105, 0.002454229202795959)	(110, 7.111723204173834e-05)	(115, 0.0021151670721117274)	(120, 0.0007284266937882289)	(125, 0.00117357126815988)	(130, 6.1166297134742865e-06)	(135, 0.0022306526928213537)	(140, 1.4150412023709171e-05)	(145, 8.21636827183113e-07)	(150, 9.129298079812368e-07)																																
BACW_1_val_1	(1, 0.0)	(2, 0.015441381788036846)	(3, 0.0)	(4, 1.369969402144394e-06)	(5, 0.00027947375803745634)	(6, 1.8266258695258585e-06)	(7, 0.0)	(8, 7.397834771579727e-05)	(9, 2.739938804288788e-06)	(10, 0.0)	(12, 2.2832823369073232e-07)	(14, 0.0008210683283518734)	(16, 0.0001433901307577799)	(18, 0.00011667572741596422)	(20, 0.0002828992628878184)	(22, 0.00013243183391583056)	(24, 0.0003180678085267504)	(26, 2.625857342422301e-05)	(28, 0.00012444437186331112)	(30, 7.991957150066801e-06)	(32, 1.3244020681451674e-05)	(34, 2.0551417034247982e-06)	(36, 0.04263746906712898)	(38, 1.8268684823198511e-06)	(40, 0.0002642184210607686)	(42, 4.0878667173848364e-05)	(44, 5.640982384710184e-05)	(46, 4.567756158120956e-06)	(48, 2.7636016180837226e-05)	(50, 2.969303900444941e-06)	(52, 2.101460471399476e-05)	(54, 3.198030539492127e-06)	(56, 2.055987551918283e-06)	(58, 0.0025201147582265505)	(60, 0.00012269315561783424)	(62, 3.4961095110557864e-05)	(64, 0.0012664723473338484)	(66, 3.4281205073123788e-06)	(68, 5.8283539743498896e-05)	(70, 3.428889025988572e-06)	(72, 2.2177561186685265e-05)	(74, 1.006156419592381e-05)	(76, 0.0008921709007448667)	(78, 0.00040967435536756595)	(80, 3.775064351005282e-05)	(82, 8.238665177509627e-06)	(84, 0.0030747396976007245)	(86, 1.4654009650498801e-05)	(88, 0.0004111128272495036)	(90, 0.0010534402518828337)	(92, 0.000666288172811471)	(94, 0.006882704846783877)	(96, 0.0021427341209398864)	(98, 0.00309971447611909)	(100, 0.00015679542295106205)	(102, 1.906834755574753e-05)	(104, 2.069342375409149e-06)	(106, 0.004871010759925187)	(108, 0.0004157784572514559)	(110, 9.009437860825249e-05)	(112, 0.00045986098118730873)	(114, 0.0024458414463453446)	(116, 0.00170869419784067)	(118, 6.016122371738478e-05)	(120, 3.496356429483054e-06)	(122, 1.0538111448888807e-05)	(124, 2.119860242796073e-06)	(126, 0.005004187154842814)	(128, 0.0005560726399930591)	(130, 7.84387443471378e-05)
BACW_2	(1, 0.0171461911885996)	(2, 0.01037133908357084)	(3, 0.001541938445680309)	(4, 1.0955157695774842e-05)	(5, 7.349084954248955e-05)	(6, 0.003923772314703356)	(7, 0.0)	(8, 8.216368271831132e-06)	(9, 0.0)	(10, 0.0006142191748097762)	(15, 0.0001746434722668106)	(20, 3.0217976644178936e-05)	(25, 1.7163080390047255e-05)	(30, 7.486024425446142e-06)	(35, 7.668610387042388e-06)	(40, 0.0001623189198590639)	(45, 0.003869270405166876)	(50, 1.433299798530542e-05)	(55, 1.2781017311737315e-06)	(60, 0.02802785803483195)	(65, 9.677055964601111e-06)	(70, 9.129298079812368e-08)	(75, 6.390508655868657e-07)	(80, 2.73878942394371e-07)	(85, 0.0)	(90, 3.0126683663380815e-06)	(95, 0.0)	(100, 5.47757884788742e-07)	(105, 9.129298079812368e-08)	(110, 0.0)	(115, 1.7345666351643499e-06)	(120, 1.8258596159624736e-07)	(125, 0.0)	(130, 2.73878942394371e-07)	(135, 9.129298079812368e-08)	(140, 6.390508655868657e-07)	(145, 0.0)	(150, 0.0)																																
BACW_2_val_2	(1, 0.00014578171893971846)	(2, 0.0)	(3, 0.0)	(4, 1.487568560609372e-06)	(5, 0.0)	(6, 2.975137121218744e-06)	(7, 0.00020528446136409333)	(8, 0.00011454277916692163)	(9, 1.9834247474791626e-05)	(10, 6.32216638258983e-05)	(12, 4.2147775883932204e-05)	(14, 1.4875685606093719e-05)	(16, 2.181767222227079e-05)	(18, 4.21477758839322e-06)	(20, 2.479298655797904e-07)	(22, 0.0001901677331473144)	(24, 1.785202257651076e-05)	(26, 4.46315588939653e-06)	(28, 0.0)	(30, 8.604606360708521e-05)	(32, 1.8350659534234818e-05)	(34, 7.985365632074016e-05)	(36, 1.736034436256843e-05)	(38, 4.216319334919177e-06)	(40, 4.53903714064908e-05)	(42, 0.0)	(44, 1.4884241754081694e-06)	(46, 2.480902053207936e-07)	(48, 9.92448041065118e-07)	(50, 1.4143855737356321e-05)	(52, 0.08905621626438182)	(54, 0.00024323016006331526)	(56, 4.741122840122226e-05)	(58, 9.930454125104064e-07)	(60, 4.966096669099168e-07)	(62, 0.0)	(64, 7.451863939695146e-07)	(66, 0.0)	(68, 0.0)	(70, 4.97082421947211e-07)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 7.2184478037275175e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 1.6062876765755023e-05)	(108, 0.0)	(110, 0.0)	(112, 2.519450294845977e-07)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)
BACW_42_1	(1, 0.00331735769824051)	(2, 0.06289851648616326)	(3, 0.0)	(4, 0.08384563451034811)	(5, 0.0)	(6, 0.005107800755001159)	(7, 0.00042532711142744857)	(8, 0.0)	(9, 0.005881431047654502)	(10, 0.004214904477343901)	(15, 0.0)	(20, 0.0)	(25, 0.0005156243478398363)	(30, 0.00027515466889611705)	(35, 2.1992996422330485e-05)	(40, 0.0)	(45, 0.02070083521843347)	(50, 0.00010899612764370835)	(55, 2.7031039655639665e-05)	(60, 2.6159070634490004e-06)	(65, 2.9065634038322226e-07)	(70, 5.813126807664445e-06)	(75, 0.00016635231214599754)	(80, 4.650501446131556e-06)	(85, 5.231814126898001e-06)	(90, 6.781981275608519e-07)	(95, 5.425585020486815e-06)	(100, 0.001349323617505712)	(105, 0.0013451575432935525)	(110, 4.359845105748333e-06)	(115, 0.002316434147407487)	(120, 0.0010205912965322876)	(125, 0.000794751320054524)	(130, 0.00013127978040642204)	(135, 0.0021606423489620797)	(140, 1.6954953189021295e-05)	(145, 7.169523062786149e-06)	(150, 5.813126807664445e-06)																																
BACW_42_1_val_1	(1, 0.0)	(2, 0.020959280216959978)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0006343660617355456)	(16, 0.0004022336373113085)	(18, 0.0002515171780296013)	(20, 0.00036903807033322365)	(22, 0.00022535043246213978)	(24, 0.00014248129582241183)	(26, 4.361738568541713e-06)	(28, 1.453944268857384e-06)	(30, 0.0)	(32, 0.0)	(34, 3.392914585680064e-06)	(36, 0.05175152256188248)	(38, 0.0)	(40, 0.0002135509131919416)	(42, 4.824138164383671e-05)	(44, 5.3579410327702395e-05)	(46, 4.121876777589668e-06)	(48, 2.0611513788017586e-05)	(50, 2.182701284237895e-06)	(52, 0.0)	(54, 4.609221593468601e-06)	(56, 0.0)	(58, 4.853262670864208e-07)	(60, 1.407785862139118e-05)	(62, 4.855798339996294e-07)	(64, 0.000390482372928743)	(66, 4.857622513362694e-07)	(68, 2.429304163622303e-05)	(70, 5.346018365711494e-06)	(72, 4.132779294561802e-06)	(74, 5.836633077897141e-06)	(76, 4.378670936318427e-06)	(78, 5.109990066349644e-06)	(80, 0.0)	(82, 0.0)	(84, 1.7057496639648792e-06)	(86, 0.0)	(88, 1.3658788140266456e-05)	(90, 0.00019939232589505671)	(92, 2.6622752119526446e-05)	(94, 0.005275106069546038)	(96, 0.001222172487441071)	(98, 1.2237962790586724e-05)	(100, 0.0)	(102, 1.1040248715900698e-05)	(104, 3.1944682817988403e-06)	(106, 0.002801439117504805)	(108, 0.0029899370954972653)	(110, 0.00011472439725972809)	(112, 0.0001221742439075031)	(114, 0.0026231481286659347)	(116, 0.0016893818255884594)	(118, 6.753254764900217e-06)	(120, 6.789455255802559e-06)	(122, 0.00032381542084531923)	(124, 1.276294086327853e-06)	(126, 0.003307129811189485)	(128, 0.002131509613859451)	(130, 2.3046469758160897e-05)
BACW_42_2	(1, 0.00917456738419641)	(2, 0.008793323151060416)	(3, 0.0014450464389385866)	(4, 0.0)	(5, 0.0)	(6, 0.0005319011029012966)	(7, 0.0)	(8, 0.0)	(9, 4.844272339720371e-07)	(10, 3.5460073526753116e-05)	(15, 7.70239302015539e-05)	(20, 4.233894024915604e-05)	(25, 1.802069310375978e-05)	(30, 8.128688986050782e-05)	(35, 8.332148424319038e-06)	(40, 7.043571981953419e-05)	(45, 1.7148724082610113e-05)	(50, 2.1799225528741667e-05)	(55, 1.0657399147384816e-06)	(60, 0.03603818898777534)	(65, 1.6954953189021295e-05)	(70, 1.9377089358881483e-07)	(75, 4.844272339720371e-07)	(80, 1.9377089358881483e-07)	(85, 0.0)	(90, 3.487876084598667e-06)	(95, 0.0)	(100, 9.688544679440741e-08)	(105, 0.0)	(110, 0.0)	(115, 5.231814126898001e-06)	(120, 1.9377089358881483e-07)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 2.9065634038322226e-07)	(145, 0.0)	(150, 0.0)																																
BACW_42_2_val_2	(1, 0.00017446278244827838)	(2, 0.0)	(3, 0.0)	(4, 2.90771304080464e-06)	(5, 0.0)	(6, 3.876950721072853e-06)	(7, 0.00023940170702624867)	(8, 0.00012745475495527006)	(9, 1.4053946363889093e-05)	(10, 6.203121153716565e-05)	(12, 3.852719779066147e-05)	(14, 1.4780874624090252e-05)	(16, 2.9319439828113453e-05)	(18, 6.0577355016763325e-06)	(20, 2.423112454945586e-06)	(22, 0.0001994285550436515)	(24, 1.6235940257323078e-05)	(26, 5.573747243357899e-06)	(28, 0.0)	(30, 9.912601609528755e-05)	(32, 1.842069886231243e-05)	(34, 7.805071471718168e-05)	(36, 2.1089793811485566e-05)	(38, 2.424332468358176e-06)	(40, 5.406896243513495e-05)	(42, 4.849865831614181e-07)	(44, 1.455143795563705e-06)	(46, 2.4255572291442275e-07)	(48, 9.703632787578627e-07)	(50, 1.5043404322009853e-05)	(52, 0.08946538366786562)	(54, 0.00028205016419458073)	(56, 4.102923371989564e-05)	(58, 1.4569787998730126e-06)	(60, 4.858025763767212e-07)	(62, 0.0)	(64, 1.2152223594186663e-06)	(66, 0.0)	(68, 0.0)	(70, 4.865132234123844e-07)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 8.77614911221463e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.447212722230806e-07)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 1.3321980308820378e-05)	(108, 0.0)	(110, 0.0)	(112, 4.962142192114788e-07)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)
BACW_45_1	(1, 0.0033152190533393034)	(2, 0.06232452977352627)	(3, 0.0)	(4, 0.08267272650754517)	(5, 0.0)	(6, 0.005220498141111407)	(7, 0.00041424562878063925)	(8, 0.0)	(9, 0.005159469017194178)	(10, 0.004174559279017647)	(15, 0.0)	(20, 0.0)	(25, 0.0005320401980948513)	(30, 0.00027922914230622305)	(35, 2.190360337851211e-05)	(40, 0.0)	(45, 0.019787146801678472)	(50, 0.00011010322766984901)	(55, 3.059816349822684e-05)	(60, 3.59486620334359e-06)	(65, 9.196169357390579e-07)	(70, 4.932490837145856e-06)	(75, 0.0001632738068634891)	(80, 5.6013031540469894e-06)	(85, 5.183295455983781e-06)	(90, 1.5048277130275493e-06)	(95, 4.096475441019439e-06)	(100, 0.0013713160542661606)	(105, 0.0011998492965206327)	(110, 4.932490837145856e-06)	(115, 0.0021873506824251557)	(120, 0.001031308592661547)	(125, 0.0006749988308324685)	(130, 0.00013326085414255075)	(135, 0.0020999870735299454)	(140, 1.387785557569851e-05)	(145, 6.520920089786047e-06)	(150, 6.270115470948122e-06)																																
BACW_45_1_val_1	(1, 0.0)	(2, 0.020770543462739603)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0006596777127075584)	(16, 0.00040856109370224073)	(18, 0.00026136200978904854)	(20, 0.0003809621799105896)	(22, 0.0002210104225169784)	(24, 0.0001430206326457466)	(26, 6.272915469885876e-06)	(28, 1.0455021195077634e-06)	(30, 0.0)	(32, 0.0)	(34, 2.300254600125476e-06)	(36, 0.04946306838629204)	(38, 0.0)	(40, 0.00022168334857566692)	(42, 4.412965236650929e-05)	(44, 5.7099419155635754e-05)	(46, 8.994145886142304e-06)	(48, 1.9662762084877387e-05)	(50, 3.765492625185418e-06)	(52, 0.0)	(54, 6.48600916145028e-06)	(56, 0.0)	(58, 1.046315748352374e-06)	(60, 1.151111578011269e-05)	(62, 8.373159761862229e-07)	(64, 0.00038667830718408893)	(66, 4.1875845588481e-07)	(68, 2.052189288621043e-05)	(70, 4.1889207005999195e-06)	(72, 4.609068229027944e-06)	(74, 9.220304172637756e-06)	(76, 3.7726526649958695e-06)	(78, 5.240970549340818e-06)	(80, 0.0)	(82, 6.293366355102097e-07)	(84, 2.9379556071382215e-06)	(86, 0.0)	(88, 1.0290090330528957e-05)	(90, 0.00019328811191279154)	(92, 2.669681896492073e-05)	(94, 0.0051720667660820115)	(96, 0.0010209136410771176)	(98, 1.15786393522382e-05)	(100, 1.2639390516455481e-06)	(102, 1.1175248109115864e-05)	(104, 3.166036670045623e-06)	(106, 0.0028906698536683775)	(108, 0.002577552303103442)	(110, 9.585991826356999e-05)	(112, 0.00010533577276005726)	(114, 0.002701805724034517)	(116, 0.0013660159572770523)	(118, 6.619371032873481e-06)	(120, 5.787693151745733e-06)	(122, 0.0003285949602492428)	(124, 6.506086659855502e-07)	(126, 0.0033631497928195667)	(128, 0.0019246746968834706)	(130, 1.1194156244465657e-05)
