Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
BACW_1	(1, 36.16478979633691)	(2, 36.231671111668646)	(3, 36.338541970667535)	(4, 36.320837011660664)	(5, 36.388951211310186)	(6, 36.38454451282101)	(7, 36.38424710767747)	(8, 36.39275657206415)	(9, 36.39706037879932)	(10, 36.40516573571942)	(15, 36.37830867729785)	(20, 36.34483054249397)	(25, 36.23809516593032)	(30, 36.158749008267236)	(35, 36.0911271379692)	(40, 36.0255120307191)	(45, 35.97323214851461)	(50, 35.873074013095604)	(55, 35.81847531656674)	(60, 35.752710983636085)	(65, 35.658300574863226)	(70, 35.58608662107163)	(75, 35.50748371973415)	(80, 35.44724894148413)	(85, 35.36592387700036)	(90, 35.271183203088455)	(95, 35.199391419992615)	(100, 35.071229360819544)	(105, 35.008067736908586)	(110, 34.89886933780221)	(115, 34.80575485206331)	(120, 34.74780699949949)	(125, 34.57559547364471)	(130, 34.49740015255879)	(135, 34.309036947469835)	(140, 34.193498929153876)	(145, 34.03064918625797)	(150, 33.85058910881221)																																
BACW_1_val_1	(1, 36.41234815436101)	(2, 36.396962722123355)	(3, 36.40370744681529)	(4, 36.39733774211406)	(5, 36.39171494473089)	(6, 36.387456824101406)	(7, 36.3790295760548)	(8, 36.379255949798804)	(9, 36.356036804191454)	(10, 36.36488669236519)	(12, 36.33901983201042)	(14, 36.30436409735253)	(16, 36.245685280226304)	(18, 36.20641266191845)	(20, 36.17854176393077)	(22, 36.157453236463624)	(24, 36.1244601922449)	(26, 36.09477532884126)	(28, 36.07551023532616)	(30, 36.039722750084366)	(32, 36.02955831022253)	(34, 35.992719184996034)	(36, 35.97635616136223)	(38, 35.968484235069106)	(40, 35.89318967481446)	(42, 35.86341993540962)	(44, 35.8629580894034)	(46, 35.81750185715427)	(48, 35.80627917256132)	(50, 35.78099161767939)	(52, 35.75065699681632)	(54, 35.71965949259704)	(56, 35.67161883795984)	(58, 35.625480911468784)	(60, 35.620484012183994)	(62, 35.56826285483735)	(64, 35.556813420511546)	(66, 35.52945143337751)	(68, 35.48808718734571)	(70, 35.48585377261242)	(72, 35.43978238624557)	(74, 35.40803736892322)	(76, 35.38835212442185)	(78, 35.35070705101073)	(80, 35.312977640457646)	(82, 35.270519211980655)	(84, 35.227983723502454)	(86, 35.217778443421565)	(88, 35.2031015927533)	(90, 35.110070133086005)	(92, 35.085554462853565)	(94, 35.05335017819194)	(96, 34.99737213262304)	(98, 35.0293450715302)	(100, 34.94949812846846)	(102, 34.90387923710911)	(104, 34.87715713550129)	(106, 34.82525996013164)	(108, 34.80914201183229)	(110, 34.800415196663394)	(112, 34.78679955381348)	(114, 34.677628517774295)	(116, 34.59071147932289)	(118, 34.59684248115066)	(120, 34.60141704734252)	(122, 34.5378998810524)	(124, 34.41042452296006)	(126, 34.38560300149513)	(128, 34.41670363894559)	(130, 34.49677421864465)
BACW_2	(1, 36.23574975339598)	(2, 36.229056307241926)	(3, 36.291718700052044)	(4, 36.24812120757261)	(5, 36.29981974246588)	(6, 36.24964780879751)	(7, 36.27648264102998)	(8, 36.25601595980238)	(9, 36.24323099863388)	(10, 36.22875219480308)	(15, 36.15338263157339)	(20, 36.08365697843796)	(25, 35.98217102769508)	(30, 35.889261040059026)	(35, 35.802656612960206)	(40, 35.700839156406666)	(45, 35.60765487809687)	(50, 35.521963990643144)	(55, 35.412206154540954)	(60, 35.23814448148561)	(65, 35.12568507702067)	(70, 35.00371567635548)	(75, 34.90344956872808)	(80, 34.80406930793298)	(85, 34.63789490382177)	(90, 34.501840904242734)	(95, 34.35769278499659)	(100, 34.213389600057916)	(105, 34.05108911681632)	(110, 33.855307466018026)	(115, 33.65982051078761)	(120, 33.44299263448687)	(125, 33.28223827912585)	(130, 33.079067695813045)	(135, 32.76311129819884)	(140, 32.51959593014614)	(145, 32.251895641003465)	(150, 32.30069245315117)																																
BACW_2_val_2	(1, 36.166812859119815)	(2, 36.13955704284203)	(3, 36.15490825453133)	(4, 36.13853691295022)	(5, 36.13455456794942)	(6, 36.12347469120519)	(7, 36.13486648132521)	(8, 36.10794783237881)	(9, 36.09549015475805)	(10, 36.07746734679161)	(12, 36.03026227663433)	(14, 35.990997780513)	(16, 35.96645550250793)	(18, 35.92178528388786)	(20, 35.92603647578552)	(22, 35.84868402101076)	(24, 35.838167866885115)	(26, 35.790758819596896)	(28, 35.78889424035773)	(30, 35.725263596010095)	(32, 35.72521504999188)	(34, 35.685265883146165)	(36, 35.64577489421113)	(38, 35.61599114207026)	(40, 35.60141966151137)	(42, 35.541197294975504)	(44, 35.527765644653826)	(46, 35.459804013809595)	(48, 35.38383082031354)	(50, 35.32742155210116)	(52, 35.26422406145916)	(54, 35.219289816187654)	(56, 35.17446785046904)	(58, 35.137623710810175)	(60, 35.082038875687644)	(62, 35.051868150019075)	(64, 34.992461247211565)	(66, 34.99004824321808)	(68, 34.959569512020735)	(70, 34.934673181346206)	(72, 34.86960879620425)	(74, 34.70734672793522)	(76, 34.75206301846333)	(78, 34.76163154266177)	(80, 34.65841917424544)	(82, 34.62427134946205)	(84, 34.518219684340195)	(86, 34.49358248175289)	(88, 34.428568590097484)	(90, 34.40598419573359)	(92, 34.3497103013604)	(94, 34.25121507987209)	(96, 34.24887571295491)	(98, 34.099986592285816)	(100, 33.95370119360006)	(102, 34.003183639659035)	(104, 33.92033839923469)	(106, 33.77558585577921)	(108, 33.89748320259372)	(110, 33.72463731501535)	(112, 33.70787241094477)	(114, 33.58512687008445)	(116, 33.56375322869072)	(118, 33.396851862038005)	(120, 33.37274110047321)	(122, 33.33318728473413)	(124, 33.16023416145484)	(126, 33.01662725226802)	(128, 33.20970130328053)	(130, 33.19341288332956)
BACW_42_1	(1, 36.08324784161508)	(2, 36.16619355080861)	(3, 36.261467313039866)	(4, 36.2408211599676)	(5, 36.305304276690265)	(6, 36.30959744523153)	(7, 36.333228076983936)	(8, 36.33629944253276)	(9, 36.324536178362855)	(10, 36.332946640262676)	(15, 36.309935831218425)	(20, 36.25938423911732)	(25, 36.14687324697895)	(30, 36.063032491619694)	(35, 35.99867586756751)	(40, 35.93372757765572)	(45, 35.83477751652295)	(50, 35.781607052663716)	(55, 35.69553756192579)	(60, 35.61173732406039)	(65, 35.539947971158675)	(70, 35.471765486140754)	(75, 35.40453483088005)	(80, 35.31824172949979)	(85, 35.22634907849733)	(90, 35.17281279553695)	(95, 35.08524010868377)	(100, 34.98460679080173)	(105, 34.87340957985471)	(110, 34.81428365187137)	(115, 34.64506958390297)	(120, 34.571382914577)	(125, 34.41073189339856)	(130, 34.37820382733169)	(135, 34.14379433502266)	(140, 33.99393200149173)	(145, 33.812823515524094)	(150, 33.65728054022085)																																
BACW_42_1_val_1	(1, 36.33993087929945)	(2, 36.32012826309918)	(3, 36.336650455601074)	(4, 36.3211837580868)	(5, 36.3286094368809)	(6, 36.32089147477194)	(7, 36.31061228270812)	(8, 36.31190141728476)	(9, 36.278408769546225)	(10, 36.2895861347836)	(12, 36.24824317553086)	(14, 36.21502268973294)	(16, 36.15077747763986)	(18, 36.11337762927226)	(20, 36.08085003919501)	(22, 36.05685355654944)	(24, 36.03698778414979)	(26, 36.01546635500482)	(28, 35.96744267983289)	(30, 35.964741920496365)	(32, 35.9381805040709)	(34, 35.8709235404548)	(36, 35.83323369177833)	(38, 35.820507628431)	(40, 35.804579510160195)	(42, 35.77042462188531)	(44, 35.7541313585818)	(46, 35.71126869488414)	(48, 35.66248789311814)	(50, 35.64543303308511)	(52, 35.605447267402106)	(54, 35.56703680847117)	(56, 35.595485315321724)	(58, 35.48161136666391)	(60, 35.47199309696076)	(62, 35.48825189977361)	(64, 35.44268860045501)	(66, 35.41219934918045)	(68, 35.39876314657705)	(70, 35.326316023217956)	(72, 35.34313717912704)	(74, 35.291244449038416)	(76, 35.228476425079876)	(78, 35.20644847426363)	(80, 35.20175003579088)	(82, 35.202439001371914)	(84, 35.120965028063026)	(86, 35.15758092807203)	(88, 35.01394487878498)	(90, 35.04308045906809)	(92, 34.98496537753604)	(94, 34.918566633871286)	(96, 34.89936864540487)	(98, 34.873347002868584)	(100, 34.80327760163942)	(102, 34.85721653389837)	(104, 34.79747071130906)	(106, 34.66711481683154)	(108, 34.62857020742496)	(110, 34.59451081540074)	(112, 34.61649911059084)	(114, 34.52084681334247)	(116, 34.426009424618)	(118, 34.45196475564788)	(120, 34.45762402714964)	(122, 34.42334163639245)	(124, 34.30010075085588)	(126, 34.213766160061695)	(128, 34.26737392556633)	(130, 34.320574719034944)
BACW_42_2	(1, 36.24414344429081)	(2, 36.24404480037315)	(3, 36.26966437892999)	(4, 36.263677628557396)	(5, 36.32365259762091)	(6, 36.29908544207415)	(7, 36.28902369465366)	(8, 36.29774380147257)	(9, 36.299199810499815)	(10, 36.243100614877676)	(15, 36.19955199297433)	(20, 36.12750386679507)	(25, 36.03750021944553)	(30, 35.97097420235084)	(35, 35.88953144996551)	(40, 35.81755069308167)	(45, 35.74037021343748)	(50, 35.66943477204734)	(55, 35.553100186062686)	(60, 35.40104175010926)	(65, 35.29804873000812)	(70, 35.18181173576518)	(75, 35.11306334866565)	(80, 35.00368070331394)	(85, 34.88367032416979)	(90, 34.76883175411994)	(95, 34.61307299361188)	(100, 34.49935581932167)	(105, 34.34767934358482)	(110, 34.14101359577974)	(115, 34.006283749803174)	(120, 33.848494787698606)	(125, 33.669155037603375)	(130, 33.47946103904836)	(135, 33.17025940574575)	(140, 32.912168644505556)	(145, 32.68348345152001)	(150, 32.694775363147)																																
BACW_42_2_val_2	(1, 36.24437597534085)	(2, 36.22131845062414)	(3, 36.23432106487624)	(4, 36.21734168780675)	(5, 36.21569290789647)	(6, 36.20466150985374)	(7, 36.216994371176405)	(8, 36.19261439433779)	(9, 36.18106846678012)	(10, 36.16515806679438)	(12, 36.11817037633101)	(14, 36.07884815164073)	(16, 36.055700453896435)	(18, 36.01353746141193)	(20, 36.01774152258187)	(22, 35.94545136390059)	(24, 35.9365964161757)	(26, 35.892258275041286)	(28, 35.88896396031765)	(30, 35.830065919941575)	(32, 35.83062268722236)	(34, 35.79394741146983)	(36, 35.75683724111496)	(38, 35.72717962110612)	(40, 35.71352764022916)	(42, 35.65823437055811)	(44, 35.645551972066876)	(46, 35.58567650536135)	(48, 35.51469191148557)	(50, 35.46171259334487)	(52, 35.40105431852564)	(54, 35.36275191051893)	(56, 35.320919344721254)	(58, 35.28515610937679)	(60, 35.23258291544934)	(62, 35.20302731040809)	(64, 35.14855979943174)	(66, 35.147936749336345)	(68, 35.11867133524491)	(70, 35.093799131071194)	(72, 35.03231085762633)	(74, 34.88499069909852)	(76, 34.925864828062466)	(78, 34.93285740937337)	(80, 34.836092656233475)	(82, 34.80296405908851)	(84, 34.704975439210656)	(86, 34.68285901919194)	(88, 34.6229071799888)	(90, 34.60055382942056)	(92, 34.54581706030011)	(94, 34.45281898468103)	(96, 34.45231220804013)	(98, 34.31446748947175)	(100, 34.177831136940675)	(102, 34.220222535199255)	(104, 34.14134610351654)	(106, 34.00673206303844)	(108, 34.120946959662604)	(110, 33.955765957661555)	(112, 33.94035171103487)	(114, 33.82172018461617)	(116, 33.80152706752419)	(118, 33.641500334863196)	(120, 33.62066680872856)	(122, 33.57901810543517)	(124, 33.41162338855734)	(126, 33.27308226490919)	(128, 33.44946532232033)	(130, 33.450365265656266)
BACW_45_1	(1, 36.05201656444121)	(2, 36.144495709744554)	(3, 36.2511208082209)	(4, 36.23440019097267)	(5, 36.29838113477085)	(6, 36.3025582480769)	(7, 36.324889799376535)	(8, 36.32405031033644)	(9, 36.30767313239302)	(10, 36.32112392371587)	(15, 36.304014263358994)	(20, 36.25022785850426)	(25, 36.14059185643087)	(30, 36.05286260449795)	(35, 35.99046547013133)	(40, 35.922256209592135)	(45, 35.823737140641086)	(50, 35.76919914373296)	(55, 35.682667986300245)	(60, 35.59932458065343)	(65, 35.524191472372095)	(70, 35.455857978273)	(75, 35.38596341603314)	(80, 35.300742899165286)	(85, 35.20567183777302)	(90, 35.153009106163935)	(95, 35.066396591056936)	(100, 34.96474395414984)	(105, 34.85397608838797)	(110, 34.7936764338847)	(115, 34.62770528604676)	(120, 34.55331680163049)	(125, 34.400277707594284)	(130, 34.36485704446052)	(135, 34.13806533346623)	(140, 33.983446271489214)	(145, 33.80924580693552)	(150, 33.655109719413)																																
BACW_45_1_val_1	(1, 36.324492556353505)	(2, 36.30609731683544)	(3, 36.32724683521238)	(4, 36.31713311233649)	(5, 36.32503497661414)	(6, 36.31816778807905)	(7, 36.305647619452294)	(8, 36.30383466200788)	(9, 36.26859227406455)	(10, 36.27914044332759)	(12, 36.23936235815742)	(14, 36.209760440474525)	(16, 36.14583510040188)	(18, 36.105218607722236)	(20, 36.07028547221856)	(22, 36.04707950394908)	(24, 36.02909839077985)	(26, 36.008669716364906)	(28, 35.95837626848123)	(30, 35.95381848092367)	(32, 35.927362728549966)	(34, 35.86042501635956)	(36, 35.823514438116185)	(38, 35.808976027884626)	(40, 35.79226300820527)	(42, 35.759416363018374)	(44, 35.742318200148226)	(46, 35.69928672082797)	(48, 35.65003568872206)	(50, 35.63366867902511)	(52, 35.59400304780404)	(54, 35.55456035293125)	(56, 35.58067506851924)	(58, 35.46613169907093)	(60, 35.45625448071175)	(62, 35.474078369770524)	(64, 35.42815043146963)	(66, 35.3953665471729)	(68, 35.3795875744309)	(70, 35.30796759356625)	(72, 35.32809574907533)	(74, 35.276334980089324)	(76, 35.20925150766115)	(78, 35.184578204709894)	(80, 35.179978089605804)	(82, 35.18517432749843)	(84, 35.106129523898524)	(86, 35.14015799378987)	(88, 34.99418586950996)	(90, 35.02315654870803)	(92, 34.96595607991677)	(94, 34.9025486770732)	(96, 34.881815154425425)	(98, 34.8507867362285)	(100, 34.7808786360591)	(102, 34.8363744532752)	(104, 34.78062680498122)	(106, 34.64987643035282)	(108, 34.6081987684824)	(110, 34.572430044771124)	(112, 34.596963274480586)	(114, 34.5065743554748)	(116, 34.414843455972246)	(118, 34.43918930506886)	(120, 34.44192161106031)	(122, 34.40813496288017)	(124, 34.2921688216008)	(126, 34.20804091090622)	(128, 34.259326500325656)	(130, 34.30743514290575)
