Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
BACW_1	(12.0, 2.0)	(13.0, 0.0)	(14.0, 12.0)	(15.0, 134.0)	(16.0, 565.0)	(17.0, 1697.0)	(18.0, 4157.0)	(19.0, 9259.0)	(20.0, 18274.0)	(21.0, 36207.0)	(22.0, 71060.0)	(23.0, 141476.0)	(24.0, 269983.0)	(25.0, 481495.0)	(26.0, 793107.0)	(27.0, 1224932.0)	(28.0, 1806238.0)	(29.0, 2586173.0)	(30.0, 3621232.0)	(31.0, 4997969.0)	(32.0, 6949418.0)	(33.0, 10127360.0)	(34.0, 16831465.0)	(35.0, 38742661.0)	(36.0, 125275112.0)	(37.0, 5084905.0)	
BACW_1_val_1	(13.0, 3.0)	(14.0, 36.0)	(15.0, 185.0)	(16.0, 686.0)	(17.0, 1843.0)	(18.0, 4487.0)	(19.0, 9870.0)	(20.0, 20423.0)	(21.0, 42286.0)	(22.0, 85670.0)	(23.0, 167671.0)	(24.0, 302258.0)	(25.0, 508943.0)	(26.0, 789620.0)	(27.0, 1189543.0)	(28.0, 1716348.0)	(29.0, 2461928.0)	(30.0, 3419958.0)	(31.0, 4749786.0)	(32.0, 6567856.0)	(33.0, 9689404.0)	(34.0, 16248889.0)	(35.0, 37597870.0)	(36.0, 124581455.0)	(37.0, 8825975.0)		
BACW_2	(11.0, 28.0)	(12.0, 318.0)	(13.0, 1612.0)	(14.0, 5072.0)	(15.0, 13805.0)	(16.0, 30125.0)	(17.0, 53808.0)	(18.0, 84886.0)	(19.0, 115661.0)	(20.0, 151793.0)	(21.0, 199046.0)	(22.0, 280961.0)	(23.0, 416769.0)	(24.0, 629723.0)	(25.0, 943801.0)	(26.0, 1374178.0)	(27.0, 1949421.0)	(28.0, 2697490.0)	(29.0, 3687419.0)	(30.0, 5057154.0)	(31.0, 7053948.0)	(32.0, 10332454.0)	(33.0, 16230132.0)	(34.0, 28459380.0)	(35.0, 58213953.0)	(36.0, 79921204.0)	(37.0, 1170752.0)
BACW_2_val_2	(11.0, 109.0)	(12.0, 604.0)	(13.0, 2292.0)	(14.0, 6188.0)	(15.0, 13200.0)	(16.0, 22559.0)	(17.0, 34187.0)	(18.0, 46326.0)	(19.0, 62593.0)	(20.0, 86022.0)	(21.0, 129650.0)	(22.0, 209620.0)	(23.0, 350124.0)	(24.0, 560255.0)	(25.0, 865447.0)	(26.0, 1261470.0)	(27.0, 1796896.0)	(28.0, 2456431.0)	(29.0, 3362643.0)	(30.0, 4520984.0)	(31.0, 6247593.0)	(32.0, 8793051.0)	(33.0, 13448849.0)	(34.0, 22832090.0)	(35.0, 47413621.0)	(36.0, 83719938.0)	(37.0, 3428635.0)
BACW_42_1	(13.0, 3.0)	(14.0, 18.0)	(15.0, 74.0)	(16.0, 275.0)	(17.0, 712.0)	(18.0, 1945.0)	(19.0, 5389.0)	(20.0, 13653.0)	(21.0, 33491.0)	(22.0, 75826.0)	(23.0, 160372.0)	(24.0, 310409.0)	(25.0, 550885.0)	(26.0, 897686.0)	(27.0, 1363376.0)	(28.0, 1985127.0)	(29.0, 2806693.0)	(30.0, 3874506.0)	(31.0, 5267443.0)	(32.0, 7231574.0)	(33.0, 10357323.0)	(34.0, 16792362.0)	(35.0, 36923581.0)	(36.0, 113902592.0)	(37.0, 3874037.0)		
BACW_42_1_val_1	(13.0, 4.0)	(14.0, 27.0)	(15.0, 84.0)	(16.0, 284.0)	(17.0, 880.0)	(18.0, 2573.0)	(19.0, 7224.0)	(20.0, 18574.0)	(21.0, 43768.0)	(22.0, 94420.0)	(23.0, 188952.0)	(24.0, 341130.0)	(25.0, 574020.0)	(26.0, 887800.0)	(27.0, 1325090.0)	(28.0, 1892542.0)	(29.0, 2669417.0)	(30.0, 3650982.0)	(31.0, 4991915.0)	(32.0, 6797806.0)	(33.0, 9853809.0)	(34.0, 16071569.0)	(35.0, 35635713.0)	(36.0, 113836992.0)	(37.0, 7462160.0)		
BACW_42_2	(11.0, 78.0)	(12.0, 860.0)	(13.0, 2914.0)	(14.0, 6723.0)	(15.0, 12485.0)	(16.0, 20980.0)	(17.0, 32622.0)	(18.0, 47504.0)	(19.0, 66955.0)	(20.0, 95504.0)	(21.0, 141897.0)	(22.0, 223931.0)	(23.0, 361381.0)	(24.0, 566575.0)	(25.0, 857844.0)	(26.0, 1248850.0)	(27.0, 1759810.0)	(28.0, 2414132.0)	(29.0, 3262975.0)	(30.0, 4402660.0)	(31.0, 6044569.0)	(32.0, 8640512.0)	(33.0, 13174398.0)	(34.0, 22524452.0)	(35.0, 47743298.0)	(36.0, 90335400.0)	(37.0, 2440043.0)
BACW_42_2_val_2	(11.0, 148.0)	(12.0, 888.0)	(13.0, 2557.0)	(14.0, 5843.0)	(15.0, 10938.0)	(16.0, 17956.0)	(17.0, 27053.0)	(18.0, 37197.0)	(19.0, 52796.0)	(20.0, 75117.0)	(21.0, 115827.0)	(22.0, 188553.0)	(23.0, 317007.0)	(24.0, 507725.0)	(25.0, 784723.0)	(26.0, 1143916.0)	(27.0, 1632311.0)	(28.0, 2229522.0)	(29.0, 3062820.0)	(30.0, 4128271.0)	(31.0, 5734687.0)	(32.0, 8107721.0)	(33.0, 12473628.0)	(34.0, 21385814.0)	(35.0, 46040888.0)	(36.0, 93436191.0)	(37.0, 4827638.0)
BACW_45_1	(13.0, 2.0)	(14.0, 23.0)	(15.0, 151.0)	(16.0, 597.0)	(17.0, 1703.0)	(18.0, 4245.0)	(19.0, 9697.0)	(20.0, 20999.0)	(21.0, 45434.0)	(22.0, 95147.0)	(23.0, 191928.0)	(24.0, 367014.0)	(25.0, 651054.0)	(26.0, 1062427.0)	(27.0, 1616342.0)	(28.0, 2343647.0)	(29.0, 3296791.0)	(30.0, 4523992.0)	(31.0, 6145447.0)	(32.0, 8428462.0)	(33.0, 12072420.0)	(34.0, 19565280.0)	(35.0, 42893408.0)	(36.0, 131492686.0)	(37.0, 4401148.0)		
BACW_45_1_val_1	(13.0, 6.0)	(14.0, 39.0)	(15.0, 222.0)	(16.0, 631.0)	(17.0, 1834.0)	(18.0, 4597.0)	(19.0, 11007.0)	(20.0, 25040.0)	(21.0, 55416.0)	(22.0, 114162.0)	(23.0, 224154.0)	(24.0, 402492.0)	(25.0, 679725.0)	(26.0, 1056163.0)	(27.0, 1577985.0)	(28.0, 2243283.0)	(29.0, 3148332.0)	(30.0, 4278178.0)	(31.0, 5835771.0)	(32.0, 7948626.0)	(33.0, 11515658.0)	(34.0, 18812157.0)	(35.0, 41593697.0)	(36.0, 131435610.0)	(37.0, 8167138.0)		
