Sample	Unique Reads	Duplicate Reads
BACW_1	171981232.0	47093661.0
BACW_1_val_1	171658948.0	47324045.0
BACW_2	172014951.0	47059942.0
BACW_2_val_2	167298991.0	34372386.0
BACW_42_1	171695463.0	34733889.0
BACW_42_1_val_1	171669352.0	34678383.0
BACW_42_2	171163675.0	35265677.0
BACW_42_2_val_2	171838260.0	34509475.0
BACW_45_1	194397393.0	44832651.0
BACW_45_1_val_1	194308550.0	44823373.0
BACW_45_2	194817666.0	44412378.0
BACW_45_2_val_2	196190740.0	42941183.0
BACW_47_1	188256120.0	40918279.0
BACW_47_1_val_1	187785608.0	41281692.0
BACW_47_2	188706191.0	40468208.0
BACW_47_2_val_2	189946061.0	39121239.0
BACW_48_1	208953935.0	47335429.0
BACW_48_1_val_1	208925386.0	47245208.0
BACW_48_2	210946315.0	45343049.0
BACW_48_2_val_2	212479665.0	43690929.0
BACW_50_1	178007492.0	47691550.0
BACW_50_1_val_1	177549056.0	48028255.0
BACW_50_2	178001499.0	47697543.0
BACW_50_2_val_2	179207960.0	46369351.0
BACW_52_1	177887847.0	64660373.0
BACW_52_1_val_1	177666692.0	64513544.0
BACW_52_2	179788389.0	62759831.0
BACW_52_2_val_2	181739978.0	60440258.0
BACW_53_1	171745535.0	34831501.0
BACW_53_1_val_1	171650703.0	34841919.0
BACW_53_2	171920286.0	34656750.0
BACW_53_2_val_2	172880182.0	33612440.0
BACW_55_1	205424473.0	46263793.0
BACW_55_1_val_1	205263849.0	46303709.0
BACW_55_2	206321445.0	45366821.0
BACW_55_2_val_2	207572795.0	43994763.0
BACW_56_1	229193168.0	60636314.0
BACW_56_1_val_1	229056805.0	60660738.0
BACW_56_2	230156900.0	59672582.0
BACW_56_2_val_2	231987991.0	57729552.0
BACW_57_1	177788201.0	40083597.0
BACW_57_1_val_1	177473807.0	40292922.0
BACW_57_2	178655768.0	39216030.0
BACW_57_2_val_2	179706031.0	38060698.0
BACW_58_1	189289576.0	44928184.0
BACW_58_1_val_1	188918257.0	45213548.0
BACW_58_2	188966308.0	45251452.0
BACW_58_2_val_2	190046807.0	44084998.0
BACW_59_1	177503881.0	43378000.0
BACW_59_1_val_1	177039716.0	43748785.0
BACW_59_2	178022185.0	42859696.0
BACW_59_2_val_2	179245461.0	41543040.0
BACW_64_1	194051512.0	56584530.0
BACW_64_1_val_1	194196013.0	56344874.0
BACW_64_2	193550062.0	57085980.0
BACW_64_2_val_2	193936640.0	56604247.0
