Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BACW_1	(1.0, 66.19698414875536)	(2.0, 19.46292975467935)	(3.0, 5.2494714709810015)	(4.0, 1.5643631142049783)	(5.0, 0.6227093525894779)	(6.0, 0.3942822036987407)	(7.0, 0.2885474189648441)	(8.0, 0.22070942903820956)	(9.0, 0.20777878471220315)	('>10', 2.5012515191414897)	('>50', 1.0127398255766429)	('>100', 1.6743638265177145)	('>500', 0.3325984322854853)	('>1k', 0.21269116731349766)	('>5k', 0.0059341079258093295)	('>10k+', 0.05264544361526732)
BACW_1_val_1	(1.0, 66.04533495302839)	(2.0, 19.50523907659648)	(3.0, 5.2654682642264765)	(4.0, 1.599988588187223)	(5.0, 0.6475400774406124)	(6.0, 0.376246728162783)	(7.0, 0.28050920557274667)	(8.0, 0.21567706098884815)	(9.0, 0.20174880604082146)	('>10', 2.5539153261287963)	('>50', 0.9925567357595186)	('>100', 1.7211471237536111)	('>500', 0.32475316693386647)	('>1k', 0.18837031772867072)	('>5k', 0.012867996230151469)	('>10k+', 0.06863657322093175)
BACW_2	(1.0, 66.35532826303854)	(2.0, 19.190743253065488)	(3.0, 5.235158519818375)	(4.0, 1.4861623821979848)	(5.0, 0.673431182545968)	(6.0, 0.3562600377606)	(7.0, 0.27849187669096725)	(8.0, 0.24561385493312585)	(9.0, 0.23169419660306134)	('>10', 2.6528683662376573)	('>50', 1.0439830075885392)	('>100', 1.6684828605549409)	('>500', 0.29564608002348297)	('>1k', 0.19640604403660883)	('>5k', 0.010581494617286547)	('>10k+', 0.07914858028713306)
BACW_2_val_2	(1.0, 73.24657671409255)	(2.0, 15.556174729332147)	(3.0, 3.889585395068846)	(4.0, 1.1592069764848516)	(5.0, 0.45402775130622697)	(6.0, 0.2814726773753946)	(7.0, 0.2196473358421641)	(8.0, 0.17975951066521567)	(9.0, 0.16082788499976142)	('>10', 2.236667839401156)	('>50', 0.8430026636749365)	('>100', 1.2583646402103765)	('>500', 0.2458229679892727)	('>1k', 0.14541797702608858)	('>5k', 0.007719491728389426)	('>10k+', 0.11572544480269137)
BACW_42_1	(1.0, 73.59118420623312)	(2.0, 15.577902493269447)	(3.0, 3.600897502346217)	(4.0, 1.0648803027930702)	(5.0, 0.41128803724870144)	(6.0, 0.2875767869058789)	(7.0, 0.2037529824649039)	(8.0, 0.19081812865333367)	(9.0, 0.14489944291902318)	('>10', 2.1120469719246238)	('>50', 0.855052160063576)	('>100', 1.460219198609811)	('>500', 0.2739555013103877)	('>1k', 0.15666159073326272)	('>5k', 0.012049222129999985)	('>10k+', 0.05681547239473442)
BACW_42_1_val_1	(1.0, 73.61078604406516)	(2.0, 15.638858932499458)	(3.0, 3.5381599636287877)	(4.0, 1.029695051720514)	(5.0, 0.4171745954338468)	(6.0, 0.2845110020189413)	(7.0, 0.23266054976321615)	(8.0, 0.17479036595814393)	(9.0, 0.14886010316748688)	('>10', 2.048415046128879)	('>50', 0.8519826531141722)	('>100', 1.5026320663192956)	('>500', 0.26787825569400836)	('>1k', 0.1597076306403999)	('>5k', 0.013261071727017633)	('>10k+', 0.08062666812046086)
BACW_42_2	(1.0, 73.35911732538206)	(2.0, 15.49258619674075)	(3.0, 3.6530072431696348)	(4.0, 0.9925432629668681)	(5.0, 0.4350363986898747)	(6.0, 0.2854419961991712)	(7.0, 0.17769882668177323)	(8.0, 0.19571915888703614)	(9.0, 0.16980047169667087)	('>10', 2.3687460020965245)	('>50', 0.8639157291609929)	('>100', 1.4480099253009628)	('>500', 0.2840282683833684)	('>1k', 0.16154141328243338)	('>5k', 0.016536909129310662)	('>10k+', 0.09627087223278691)
BACW_42_2_val_2	(1.0, 73.90336592997149)	(2.0, 15.1552153325641)	(3.0, 3.6133549571112775)	(4.0, 1.0199781011041233)	(5.0, 0.41687330380330956)	(6.0, 0.29926893349068556)	(7.0, 0.2055512729563598)	(8.0, 0.1626870986453093)	(9.0, 0.16871929959436735)	('>10', 2.2383140875476095)	('>50', 0.8331472620446553)	('>100', 1.374967455672404)	('>500', 0.25895480028887474)	('>1k', 0.18439945001328986)	('>5k', 0.021222705462857275)	('>10k+', 0.14398000972919223)
BACW_45_1	(1.0, 70.82191411637255)	(2.0, 16.598264092824753)	(3.0, 4.3190706893013475)	(4.0, 1.2770556730540157)	(5.0, 0.5328912092658649)	(6.0, 0.33737385993973396)	(7.0, 0.24859449101057599)	(8.0, 0.1947261066161315)	(9.0, 0.14083353832205717)	('>10', 2.3384188265294545)	('>50', 0.8663763105102661)	('>100', 1.6675928543068947)	('>500', 0.3553343679216851)	('>1k', 0.2323410305826753)	('>5k', 0.017244976903365232)	('>10k+', 0.05196785653868281)
BACW_45_1_val_1	(1.0, 70.80133887055095)	(2.0, 16.667103351677092)	(3.0, 4.284395646891191)	(4.0, 1.2698464925466013)	(5.0, 0.5417765031653333)	(6.0, 0.311366897252349)	(7.0, 0.23557399630209858)	(8.0, 0.1717280694043239)	(9.0, 0.1537910451403024)	('>10', 2.355056557348426)	('>50', 0.9116366394592987)	('>100', 1.6324098208957447)	('>500', 0.35561873009875355)	('>1k', 0.21330716954484416)	('>5k', 0.02117441857067943)	('>10k+', 0.07387579115206648)
