Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
BACW_1	(150, 219074893.0)																						
BACW_1_val_1	(20, 5074.0)	(25, 6945.0)	(30, 8964.0)	(35, 12601.0)	(40, 17734.0)	(45, 22180.0)	(50, 27485.0)	(55, 37094.0)	(60, 52409.0)	(65, 53877.0)	(70, 92339.0)	(75, 93236.0)	(80, 141839.0)	(85, 153166.0)	(90, 208100.0)	(95, 218025.0)	(100, 409282.0)	(105, 371927.0)	(110, 956442.0)	(115, 1357117.0)	(120, 2819862.0)	(125, 86979038.0)	(130, 124938257.0)
BACW_2	(150, 219074893.0)																						
BACW_2_val_2	(20, 15260.0)	(25, 17783.0)	(30, 21855.0)	(35, 28456.0)	(40, 36315.0)	(45, 44961.0)	(50, 57412.0)	(55, 73748.0)	(60, 92059.0)	(65, 95463.0)	(70, 148635.0)	(75, 143741.0)	(80, 208666.0)	(85, 212983.0)	(90, 288142.0)	(95, 313750.0)	(100, 525714.0)	(105, 479967.0)	(110, 1065402.0)	(115, 1523410.0)	(120, 3178085.0)	(125, 108681967.0)	(130, 84417603.0)
BACW_42_1	(150, 206429352.0)																						
BACW_42_1_val_1	(20, 5563.0)	(25, 11826.0)	(30, 20094.0)	(35, 31322.0)	(40, 47697.0)	(45, 56337.0)	(50, 73162.0)	(55, 89167.0)	(60, 122343.0)	(65, 110389.0)	(70, 196776.0)	(75, 162417.0)	(80, 256903.0)	(85, 255266.0)	(90, 376936.0)	(95, 380791.0)	(100, 742494.0)	(105, 654662.0)	(110, 1541219.0)	(115, 2060361.0)	(120, 3736374.0)	(125, 82600093.0)	(130, 112815543.0)
BACW_42_2	(150, 206429352.0)																						
BACW_42_2_val_2	(20, 17283.0)	(25, 23993.0)	(30, 33867.0)	(35, 47809.0)	(40, 66092.0)	(45, 77510.0)	(50, 99114.0)	(55, 119318.0)	(60, 151474.0)	(65, 144005.0)	(70, 234848.0)	(75, 201207.0)	(80, 301579.0)	(85, 296784.0)	(90, 423133.0)	(95, 440293.0)	(100, 803718.0)	(105, 719710.0)	(110, 1620924.0)	(115, 2195960.0)	(120, 4069223.0)	(125, 109763992.0)	(130, 84495899.0)
BACW_45_1	(150, 239230044.0)																						
BACW_45_1_val_1	(20, 6295.0)	(25, 9547.0)	(30, 13591.0)	(35, 19920.0)	(40, 28844.0)	(45, 36154.0)	(50, 46116.0)	(55, 61364.0)	(60, 87667.0)	(65, 83190.0)	(70, 146958.0)	(75, 138279.0)	(80, 213386.0)	(85, 223719.0)	(90, 304754.0)	(95, 313761.0)	(100, 560542.0)	(105, 484742.0)	(110, 1166672.0)	(115, 1658255.0)	(120, 3412214.0)	(125, 96117466.0)	(130, 133998487.0)
BACW_45_2	(150, 239230044.0)																						
BACW_45_2_val_2	(20, 17826.0)	(25, 21856.0)	(30, 28055.0)	(35, 36960.0)	(40, 47745.0)	(45, 58270.0)	(50, 73628.0)	(55, 93708.0)	(60, 119044.0)	(65, 119698.0)	(70, 188582.0)	(75, 182257.0)	(80, 263971.0)	(85, 271737.0)	(90, 358416.0)	(95, 382650.0)	(100, 632449.0)	(105, 561872.0)	(110, 1264899.0)	(115, 1827049.0)	(120, 3830226.0)	(125, 129040040.0)	(130, 99710985.0)
BACW_47_1	(150, 229174399.0)																						
BACW_47_1_val_1	(20, 5506.0)	(25, 7602.0)	(30, 10508.0)	(35, 14950.0)	(40, 22343.0)	(45, 27170.0)	(50, 35091.0)	(55, 46182.0)	(60, 66669.0)	(65, 68126.0)	(70, 121237.0)	(75, 117698.0)	(80, 187896.0)	(85, 195100.0)	(90, 263598.0)	(95, 282056.0)	(100, 518253.0)	(105, 491130.0)	(110, 1162113.0)	(115, 1635174.0)	(120, 3244482.0)	(125, 92738280.0)	(130, 127806136.0)
BACW_47_2	(150, 229174399.0)																						
BACW_47_2_val_2	(20, 18237.0)	(25, 21202.0)	(30, 26229.0)	(35, 33536.0)	(40, 42435.0)	(45, 51103.0)	(50, 64345.0)	(55, 79787.0)	(60, 99953.0)	(65, 106023.0)	(70, 165533.0)	(75, 164456.0)	(80, 241690.0)	(85, 247039.0)	(90, 322897.0)	(95, 358216.0)	(100, 602483.0)	(105, 585208.0)	(110, 1289502.0)	(115, 1849164.0)	(120, 3793508.0)	(125, 123332368.0)	(130, 95572386.0)
BACW_48_1	(150, 256289364.0)																						
BACW_48_1_val_1	(20, 9128.0)	(25, 19512.0)	(30, 33211.0)	(35, 50614.0)	(40, 79966.0)	(45, 87900.0)	(50, 107529.0)	(55, 125416.0)	(60, 162418.0)	(65, 148503.0)	(70, 256981.0)	(75, 216723.0)	(80, 349613.0)	(85, 347768.0)	(90, 504215.0)	(95, 518591.0)	(100, 931796.0)	(105, 834422.0)	(110, 1824509.0)	(115, 2333669.0)	(120, 4281168.0)	(125, 102469709.0)	(130, 140477233.0)
BACW_48_2	(150, 256289364.0)																						
BACW_48_2_val_2	(20, 27014.0)	(25, 38546.0)	(30, 55481.0)	(35, 76379.0)	(40, 108637.0)	(45, 121208.0)	(50, 147520.0)	(55, 171865.0)	(60, 208018.0)	(65, 200153.0)	(70, 315618.0)	(75, 279579.0)	(80, 421542.0)	(85, 416654.0)	(90, 579830.0)	(95, 618113.0)	(100, 1038277.0)	(105, 953084.0)	(110, 1977042.0)	(115, 2604635.0)	(120, 4996513.0)	(125, 136512064.0)	(130, 104302822.0)
BACW_50_1	(150, 225699042.0)																						
BACW_50_1_val_1	(20, 5127.0)	(25, 7019.0)	(30, 9644.0)	(35, 13823.0)	(40, 20967.0)	(45, 26326.0)	(50, 33979.0)	(55, 45766.0)	(60, 69774.0)	(65, 68443.0)	(70, 131351.0)	(75, 122284.0)	(80, 208163.0)	(85, 216604.0)	(90, 317169.0)	(95, 327418.0)	(100, 600705.0)	(105, 539951.0)	(110, 1280533.0)	(115, 1738152.0)	(120, 3420532.0)	(125, 90852750.0)	(130, 125520831.0)
BACW_50_2	(150, 225699042.0)																						
