Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
BACW_42_1_val_1	168755640.0	10714122.0	64.0	6592541.0	20788870.0	331378194.0	26877973.0	81.78216252288884	0.3	0.3	70.6	0.0	0.0	directional	84373460.0	84382116.0	9365055183.0	206347735.0	2044615100.0	6823417802.0	138262676.0	0.24.2
BACW_44_1_val_1	158569057.0	9005066.0	69.0	5694419.0	18600352.0	298754732.0	34097254.0	78.62744795955848	0.3	0.3	70.6	0.0	0.0	directional	79293743.0	79275245.0	8609545813.0	201671377.0	1857069479.0	6304832842.0	124593989.0	0.24.0
BACW_45_1_val_1	190858055.0	12948873.0	51.0	9610726.0	29658790.0	393426384.0	35324995.0	79.81287174276602	0.4	0.4	70.6	0.0	0.0	directional	95437788.0	95420216.0	10737764339.0	239131923.0	2367854473.0	7773312260.0	163901706.0	0.24.2
BACW_47_1_val_1	181496894.0	10346303.0	79.0	7724548.0	24097482.0	361096498.0	37224103.0	79.23300008338161	0.3	0.3	69.3	0.0	0.0	directional	90797356.0	90699459.0	10144909420.0	229067300.0	2230925135.0	7361293003.0	159772754.0	0.24.2
BACW_48_1_val_1	205855347.0	12706689.0	86.0	11640637.0	36444145.0	401815733.0	37608558.0	80.35869526851313	0.5	0.4	68.5	0.0	0.0	directional	102935587.0	102919674.0	11446435289.0	256170594.0	2509527036.0	8302064491.0	184943247.0	0.24.2
BACW_50_1_val_1	168178064.0	9610584.0	59.0	6176927.0	19524978.0	333380991.0	47788663.0	74.55451226652843	0.3	0.3	69.6	0.0	0.0	directional	91874831.0	76303174.0	9393088039.0	225577311.0	2066402402.0	6822195043.0	145407698.0	0.24.2
BACW_52_1_val_1	191775745.0	11162504.0	118.0	6570945.0	21529734.0	352618756.0	39241987.0	79.18719882657972	0.3	0.3	68.7	0.0	0.0	directional	95900160.0	95875467.0	10389534231.0	242180236.0	2235997990.0	7612130453.0	160686353.0	0.24.2
BACW_53_1_val_1	166677987.0	9001735.0	85.0	6746609.0	21597024.0	308113479.0	30812900.0	80.71861618377822	0.3	0.3	69.4	0.0	0.0	directional	83361964.0	83315938.0	9049107951.0	206492622.0	1946770795.0	6630083652.0	135796392.0	0.24.2
BACW_55_1_val_1	203821539.0	11214110.0	62.0	12432053.0	40837407.0	382518956.0	36531909.0	81.02059765591873	0.5	0.5	68.5	0.0	0.0	directional	101943823.0	101877654.0	11163908796.0	251567558.0	2419008535.0	8133071999.0	176039846.0	0.24.2
BACW_56_1_val_1	192662120.0	12837869.0	341.0	15657693.0	50656817.0	390913139.0	84217554.0	66.49998408967592	0.7	0.6	69.0	0.0	0.0	directional	95622137.0	97039642.0	10833987963.0	289717543.0	2374083907.0	7826993403.0	175683004.0	0.24.2
BACW_57_1_val_1	173899062.0	10966030.0	55.0	9941215.0	29706282.0	369973794.0	32901637.0	79.85566151383942	0.4	0.4	68.0	0.0	0.0	directional	86965161.0	86933846.0	10059582433.0	217766729.0	2256002977.0	7219555225.0	174402940.0	0.24.2
BACW_58_1_val_1	142509091.0	9782857.0	438.0	7585229.0	23406320.0	293968174.0	81839857.0	60.86703641139229	0.4	0.4	69.1	0.0	0.0	directional	60245825.0	82262828.0	8039358392.0	234131805.0	1775526044.0	5807454964.0	131417661.0	0.24.2
BACW_59_1_val_1	176454893.0	10761971.0	53.0	10907481.0	34054739.0	367001291.0	33571637.0	79.92032746306838	0.5	0.5	68.6	0.0	0.0	directional	88251505.0	88203335.0	10013014703.0	220788501.0	2218782720.0	7213948174.0	168320298.0	0.24.2
BACW_61_1_val_1	172859088.0	11487262.0	78.0	9189557.0	27990648.0	371161290.0	34636643.0	78.93722048086173	0.4	0.4	70.1	0.0	0.0	directional	86456235.0	86402775.0	9909717853.0	218982993.0	2211501662.0	7131800495.0	158074201.0	0.24.0
BACW_64_1_val_1	201764624.0	11964526.0	49.0	18983576.0	66983497.0	401004552.0	36811737.0	80.5316155841661	0.8	0.8	71.0	0.0	0.0	directional	100886680.0	100877895.0	11127764327.0	250540887.0	2419797878.0	8057135200.0	163859624.0	0.24.2
