Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
BACW_44_1_val_1	158568988.0	134559280.0	84.86	24009708.0	15.14
BACW_45_1_val_1	190858004.0	162794388.0	85.3	28063616.0	14.7
BACW_48_1_val_1	205855261.0	175677322.0	85.34	30177939.0	14.66
BACW_50_1_val_1	168178005.0	137251429.0	81.61	30926576.0	18.39
BACW_52_1_val_1	191775627.0	142090288.0	74.09	49685339.0	25.91
BACW_53_1_val_1	166677902.0	143208235.0	85.92	23469667.0	14.08
BACW_55_1_val_1	203821477.0	172732054.0	84.75	31089423.0	15.25
BACW_56_1_val_1	192661779.0	163854564.0	85.05	28807215.0	14.95
BACW_57_1_val_1	173899007.0	149537826.0	85.99	24361181.0	14.01
BACW_58_1_val_1	142508653.0	124671727.0	87.48	17836926.0	12.52
BACW_59_1_val_1	176454840.0	145945687.0	82.71	30509153.0	17.29
BACW_61_1_val_1	172859010.0	146898410.0	84.98	25960600.0	15.02
BACW_64_1_val_1	201764575.0	161709100.0	80.15	40055475.0	19.85
