Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg	version
BACW_42_1_val_1	4163193.0	13020522.0	210300616.0	0.3	0.3	68.8	5976834401.0	1308239843.0	4345648696.0	95461531.0	0.24.2
BACW_44_1_val_1	3679534.0	11973683.0	193179070.0	0.3	0.3	68.9	5623447768.0	1214089194.0	4113375526.0	87150761.0	0.24.0
BACW_45_1_val_1	5997245.0	18396204.0	245786050.0	0.4	0.4	68.9	6784167146.0	1496516387.0	4906362350.0	111108910.0	0.24.2
BACW_47_1_val_1	5085001.0	15807617.0	239903170.0	0.3	0.3	67.9	6807952570.0	1498122732.0	4935414915.0	113619135.0	0.24.2
BACW_48_1_val_1	7652264.0	23896826.0	265848763.0	0.5	0.4	67.0	7648333191.0	1677249220.0	5542738656.0	130947462.0	0.24.2
BACW_50_1_val_1	3875154.0	12217928.0	208360250.0	0.3	0.3	68.2	5911491681.0	1301374450.0	4288722595.0	96941304.0	0.24.2
BACW_52_1_val_1	4050117.0	13239165.0	216691769.0	0.3	0.3	67.9	6399619119.0	1378178283.0	4684972479.0	102487306.0	0.24.2
BACW_53_1_val_1	4717008.0	15037154.0	215876076.0	0.3	0.3	68.1	6393950084.0	1377487544.0	4679484515.0	101347787.0	0.24.2
BACW_55_1_val_1	8673633.0	28359260.0	269427309.0	0.5	0.5	67.3	7918495645.0	1717740564.0	5763424877.0	130870002.0	0.24.2
BACW_56_1_val_1	10295307.0	33079967.0	258156457.0	0.6	0.6	67.4	7221744328.0	1584218671.0	5210902641.0	125091285.0	0.24.2
BACW_57_1_val_1	6581863.0	19557614.0	245683418.0	0.4	0.4	66.5	6736035190.0	1511789945.0	4828732302.0	123690048.0	0.24.2
BACW_58_1_val_1	5113985.0	15716310.0	199998127.0	0.4	0.4	67.5	5535525907.0	1222240196.0	3996279656.0	96177633.0	0.24.2
BACW_59_1_val_1	7075541.0	21916823.0	238820496.0	0.5	0.5	67.1	6586536904.0	1460641460.0	4741044324.0	117038260.0	0.24.2
BACW_61_1_val_1	5937744.0	17974859.0	240203773.0	0.4	0.4	68.4	6492748605.0	1449209261.0	4668391103.0	111031865.0	0.24.0
BACW_64_1_val_1	11508449.0	40332256.0	246526223.0	0.8	0.8	69.3	6912194921.0	1503687915.0	5001045568.0	109094510.0	0.24.2
