Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BACW_1	3.4	219074893	84034007	219074893	32861233950	45316785	32593134906	0.8158520291962439
BACW_2	3.4	219074893	113704489	219074893	32861233950	116813026	32521387525	1.0341864383945327
BACW_42_1	4.9	206429352	83774812	206429352	30964402800	45269035	30602684289	1.1681753184014259
BACW_42_2	4.9	206429352	111393699	206429352	30964402800	97393450	30550466653	1.3368129515483502
BACW_45_1	4.9	239230044	93501378	239230044	35884506600	52761847	35551909400	0.926854599695123
BACW_45_2	4.9	239230044	126773906	239230044	35884506600	112005357	35491920423	1.0940269609280346
BACW_47_1	4.9	229174399	90007312	229174399	34376159850	49912521	34066175586	0.9017419786055596
BACW_47_2	4.9	229174399	119994324	229174399	34376159850	117426691	33999561402	1.0955221573418417
BACW_48_1	4.9	256289364	102887729	256289364	38443404600	62119584	37984654935	1.1933117521022059
BACW_48_2	4.9	256289364	135721713	256289364	38443404600	148579803	37896912144	1.4215506188543976
BACW_50_1	4.9	225699042	89035009	225699042	33854856300	50300429	33531618426	0.9547755014396561
BACW_50_2	4.9	225699042	119111213	225699042	33854856300	121124299	33462155563	1.1599539325175041
BACW_52_1	4.9	242548220	92986495	242548220	36382233000	65836798	36071307884	0.8546070165621774
BACW_52_2	4.9	242548220	123520850	242548220	36382233000	174722789	35967314817	1.14044177277409
BACW_53_1	4.9	206577036	79615278	206577036	30986555400	43976854	30754091148	0.7502100475485571
BACW_53_2	4.9	206577036	106751537	206577036	30986555400	104438296	30694730243	0.9417799211073328
BACW_55_1	4.9	251688266	96746746	251688266	37753239900	57996995	37452472093	0.7966675384593946
BACW_55_2	4.9	251688266	129332938	251688266	37753239900	138828878	37372315626	1.0089843282562883
BACW_56_1	4.9	289829482	112735857	289829482	43474422300	63271928	43075989378	0.9164766336642041
BACW_56_2	4.9	289829482	152472177	289829482	43474422300	147943344	42991052373	1.1118489940233203
BACW_57_1	4.9	217871798	84290266	217871798	32680769700	47423382	32351113913	1.0087148804209467
BACW_57_2	4.9	217871798	113444044	217871798	32680769700	133479950	32264994028	1.2722334137680975
BACW_58_1	4.9	234217760	92369416	234217760	35132664000	51319336	34772281276	1.0257768212510159
BACW_58_2	4.9	234217760	124182594	234217760	35132664000	115207476	34707859775	1.2091432206791948
BACW_59_1	4.9	220881881	85039323	220881881	33132282150	48704690	32834943536	0.8974287151541718
BACW_59_2	4.9	220881881	115239995	220881881	33132282150	119017915	32764021780	1.1114850716674824
BACW_64_1	4.9	250636042	98865427	250636042	37595406300	53814649	37241527810	0.941281195835886
BACW_64_2	4.9	250636042	132116498	250636042	37595406300	124090055	37170633247	1.1298536039494804
