Sample	bismark-percent_cpg_meth	bismark-percent_chg_meth	bismark-percent_chh_meth	bismark-total_c	bismark-dup_reads_percent	bismark-dedup_reads	bismark-aligned_reads	bismark-percent_aligned	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	cutadapt-percent_trimmed
BACW_1									21.49660362781259	23.0	150.0	150	18.181818181818183	219.074893	0.8158520291962439
BACW_1_val_1									21.610831597359933	23.0	128.47833498421497	130	9.090909090909092	218.982993	
BACW_2									21.481211951616245	23.0	150.0	150	18.181818181818183	219.074893	1.0341864383945327
BACW_2_val_2									17.043760718203544	21.0	127.67914315624472	127	9.090909090909092	201.67137699999998	
BACW_42_1									16.82604223513603	22.0	150.0	150	9.090909090909092	206.429352	1.1681753184014259
BACW_42_1_val_1	68.8	0.3	0.3	5976.834401			168.75564	81.78216252288884	16.805797801941964	22.0	127.94066186624244	130	9.090909090909092	206.347735	
BACW_42_2									17.083654398772197	22.0	150.0	150	18.181818181818183	206.429352	1.3368129515483502
BACW_42_2_val_2									16.72394197710942	22.0	127.2925466640087	127	18.181818181818183	206.347735	
BACW_44_1_val_1	68.9	0.3	0.3	5623.447768	15.14	134.55928	158.569057	78.62744795955848							
BACW_45_1									18.740393355005708	22.0	150.0	150	9.090909090909092	239.230044	0.926854599695123
BACW_45_1_val_1	68.9	0.4	0.4	6784.167146	14.7	162.794388	190.85805499999998	79.81287174276602	18.74420313138289	22.0	128.30483628277435	130	9.090909090909092	239.131923	
BACW_45_2									18.564715987946713	22.0	150.0	150	18.181818181818183	239.230044	1.0940269609280346
BACW_45_2_val_2									17.957110269998893	22.0	127.6419774515007	127	18.181818181818183	239.131923	
BACW_47_1									17.854646651661113	22.0	150.0	150	9.090909090909092	229.174399	0.9017419786055596
BACW_47_1_val_1	67.9	0.3	0.3	6807.95257			181.496894	79.23300008338161	18.021643791614537	22.0	128.33583617565668	130	9.090909090909092	229.0673	
BACW_47_2									17.6582589750696	22.0	150.0	150	18.181818181818183	229.174399	1.0955221573418417
BACW_47_2_val_2									17.07849149529747	22.0	127.65610945342264	127	18.181818181818183	229.0673	
BACW_48_1									18.46952562917548	22.0	150.0	150	9.090909090909092	256.289364	1.1933117521022059
BACW_48_1_val_1	67.0	0.5	0.4	7648.333191	14.66	175.677322	205.855347	80.35869526851313	18.442869681500667	22.0	127.90173482402122	130	9.090909090909092	256.170594	
BACW_48_2									17.6921308009955	22.0	150.0	150	18.181818181818183	256.289364	1.4215506188543976
BACW_48_2_val_2									17.055403741799296	22.0	127.18407357481476	127	18.181818181818183	256.170594	
BACW_50_1									21.130594789227658	22.0	150.0	150	9.090909090909092	225.699042	0.9547755014396561
BACW_50_1_val_1	68.2	0.3	0.3	5911.491681	18.39	137.251429	168.178064	74.55451226652843	21.29126148438671	22.0	128.26713957726005	130	9.090909090909092	225.57731099999998	
BACW_50_2									21.133250268014834	22.0	150.0	150	18.181818181818183	225.699042	1.1599539325175041
BACW_50_2_val_2									20.555857950020425	22.0	127.56824416175436	127	18.181818181818183	225.57731099999998	
BACW_52_1									26.65877074395911	22.0	150.0	150	9.090909090909092	242.54822	0.8546070165621774
BACW_52_1_val_1	67.9	0.3	0.3	6399.619119	25.91	142.090288	191.775745	79.18719882657972	26.638649655952833	21.0	128.4749909133791	130	9.090909090909092	242.18023599999998	
BACW_52_2									25.87519783672026	21.0	150.0	150	18.181818181818183	242.54822	1.14044177277409
BACW_52_2_val_2									24.956726338053556	21.0	127.69174616709846	127	18.181818181818183	242.18023599999998	
BACW_53_1									16.861265164134906	21.0	150.0	150	9.090909090909092	206.577036	0.7502100475485571
BACW_53_1_val_1	68.1	0.3	0.3	6393.950084	14.08	143.208235	166.677987	80.71861618377822	16.873203015721955	21.0	128.54927875582885	130	9.090909090909092	206.49262199999998	
BACW_53_2									16.77667159847175	21.0	150.0	150	18.181818181818183	206.577036	0.9417799211073328
BACW_53_2_val_2									16.277792613858878	21.0	127.86644597403581	127	18.181818181818183	206.49262199999998	
BACW_55_1									18.381386905489663	22.0	150.0	150	9.090909090909092	251.688266	0.7966675384593946
BACW_55_1_val_1	67.3	0.5	0.5	7918.495645	15.25	172.732054	203.821539	81.02059765591873	18.40607342383774	22.0	128.4818194860404	130	9.090909090909092	251.567558	
BACW_55_2									18.025004449404122	22.0	150.0	150	18.181818181818183	251.688266	1.0089843282562883
BACW_55_2_val_2									17.48825001660539	21.0	127.78242083385013	127	18.181818181818183	251.567558	
BACW_56_1									20.92137543491512	22.0	150.0	150	9.090909090909092	289.829482	0.9164766336642041
BACW_56_1_val_1	67.4	0.6	0.6	7221.744328	14.95	163.85456399999998	192.66212	66.49998408967592	20.937889297750246	22.0	128.31690377479143	130	9.090909090909092	289.717543	
BACW_56_2									20.588858711417686	22.0	150.0	150	18.181818181818183	289.829482	1.1118489940233203
BACW_56_2_val_2									19.926150241924375	22.0	127.6171451982112	127	18.181818181818183	289.717543	
BACW_57_1									18.397790924615805	23.0	150.0	150	9.090909090909092	217.87179799999998	1.0087148804209467
BACW_57_1_val_1	66.5	0.4	0.4	6736.03519	14.01	149.537826	173.899062	79.85566151383942	18.502790669072695	23.0	128.19625219929716	130	9.090909090909092	217.766729	
BACW_57_2									17.999590107264837	23.0	150.0	150	18.181818181818183	217.87179799999998	1.2722334137680975
BACW_57_2_val_2									17.477737858820774	23.0	127.40797291398908	127	18.181818181818183	217.766729	
BACW_58_1									19.182228022783505	22.0	150.0	150	9.090909090909092	234.21776	1.0257768212510159
BACW_58_1_val_1	67.5	0.4	0.4	5535.525907	12.52	124.67172699999999	142.50909099999998	60.86703641139229	19.311151835498563	22.0	128.15578384363457	130	9.090909090909092	234.13180499999999	
BACW_58_2									19.320248137883638	22.0	150.0	150	18.181818181818183	234.21776	1.2091432206791948
BACW_58_2_val_2									18.82913686582785	22.0	127.47675087756659	127	18.181818181818183	234.13180499999999	
BACW_59_1									19.638551036704783	23.0	150.0	150	9.090909090909092	220.881881	0.8974287151541718
BACW_59_1_val_1	67.1	0.5	0.5	6586.536904	17.29	145.945687	176.454893	79.92032746306838	19.814793259286745	22.0	128.34862807914078	130	9.090909090909092	220.788501	
BACW_59_2									19.403898725545517	22.0	150.0	150	18.181818181818183	220.881881	1.1114850716674824
BACW_59_2_val_2									18.815762550790126	22.0	127.62471983991594	127	18.181818181818183	220.788501	
BACW_61_1_val_1	68.4	0.4	0.4	6492.748605	15.02	146.89840999999998	172.85908799999999	78.93722048086173							
BACW_64_1									22.576373931163857	22.0	150.0	150	18.181818181818183	250.63604199999997	0.941281195835886
