Module	Section	Sample Name	Source
Preseq	all_sections	BACW_61.lc_extrap	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/preseq/BACW_61.lc_extrap.txt
Preseq	all_sections	BACW_44.lc_extrap	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/preseq/BACW_44.lc_extrap.txt
Bismark	alignment	BACW_53_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_53_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_64_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_64_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_61_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_61_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_58_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_58_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_42_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_42_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_55_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_55_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_59_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_59_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_44_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_44_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_50_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_50_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_57_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_57_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_52_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_52_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_48_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_48_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_47_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_47_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_45_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_45_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	BACW_56_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/alignments/logs/BACW_56_1_val_1_bismark_bt2_PE_report.txt
Bismark	deduplication	BACW_59_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_59_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_64_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_64_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_61_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_61_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_58_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_58_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_57_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_57_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_55_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_55_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_53_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_53_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_52_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_52_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_45_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_45_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_48_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_48_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_44_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_44_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_56_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_56_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	BACW_50_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/deduplicated/logs/BACW_50_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	methylation_extraction	BACW_55_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_55_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_48_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_48_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_52_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_52_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_44_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_44_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_57_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_57_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_64_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_64_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_50_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_50_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_56_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_56_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_61_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_61_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_58_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_58_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_47_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_47_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_45_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_45_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_59_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_59_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_42_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_42_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	BACW_53_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/splitting_report/BACW_53_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	m_bias	BACW_48_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_48_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_42_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_42_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_52_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_52_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_58_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_58_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_56_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_56_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_59_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_59_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_47_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_47_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_44_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_44_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_45_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_45_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_64_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_64_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_50_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_50_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_57_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_57_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	BACW_53_1_val_1	/data/scratch/NAVA1/ml/data/scratch/NAVA1/Completed_results/bismark/methylation_calls/mbias/BACW_53_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
