bin,mean_ALS,mean_Control,mean_diff,p.value,bin_start,bin_end,bin_mid
15-20,25.5,44.375,-18.875,0.864925733635747,15,20,17.5
20-25,95.475,148.325,-52.849999999999994,0.957961297794869,20,25,22.5
25-30,408.7,646.2,-237.50000000000006,0.9443749288362929,25,30,27.5
30-35,744.9,1101.45,-356.55000000000007,0.8953956348169616,30,35,32.5
35-40,1576.8,2232.625,-655.825,0.8971300566478583,35,40,37.5
40-45,2254.825,3066.25,-811.4250000000002,0.7099689482772918,40,45,42.5
45-50,3392.125,4322.475,-930.3500000000004,0.853981667009229,45,50,47.5
50-55,4058.275,4928.4,-870.1249999999995,0.7050105361758605,50,55,52.5
55-60,6959.6,8078.35,-1118.75,0.8184111426947184,55,60,57.5
60-65,7616.575,8576.75,-960.1750000000002,0.7450988042679841,60,65,62.5
65-70,9629.4,10817.4,-1188,0.7662335670311229,65,70,67.5
70-75,15139.875,16419.65,-1279.7750000000015,0.6657477695136135,70,75,72.5
75-80,16354.8,16986.825,-632.0250000000015,0.48273068935457275,75,80,77.5
80-85,23718.7,24564.325,-845.625,0.29003105172270816,80,85,82.5
85-90,27202.975,27788.65,-585.6750000000029,0.32036031759145334,85,90,87.5
90-95,35163.05,36699,-1535.949999999997,0.4105506011955936,90,95,92.5
95-100,41720.85,43018.275,-1297.425000000003,0.3919495658095918,95,100,97.5
100-105,71444.625,73689.6,-2244.975000000006,0.43692452115033176,100,105,102.5
105-110,66905.05,66778.325,126.72500000000582,0.2802289444548616,105,110,107.5
110-115,168327.8,164283.225,4044.5749999999825,0.2518229975479704,110,115,112.5
115-120,223961.2,210958.2,13003,0.15272955535438318,115,120,117.5
120-125,358431.525,336591.45,21840.07500000001,0.06360872948484315,120,125,122.5
125-130,585399.575,544443.625,40955.94999999995,0.14601833299077102,125,130,127.5
130-135,734081.375,682261.2,51820.17500000005,0.10636121212790374,130,135,132.5
135-140,1043371.2,962803.15,80568.04999999993,0.13738265178852835,135,140,137.5
140-145,1670370.425,1541985.35,128385.07499999995,0.14601833299077102,140,145,142.5
145-150,2157997.875,2017578.225,140419.6499999999,0.27699761065894046,145,150,147.5
150-155,1879334.925,1797224.575,82110.3500000001,0.43692452115033176,150,155,152.5
155-160,1629322.7,1585695.725,43626.97499999986,0.3956515397136124,155,160,157.5
160-165,1134756.2,1126199.5,8556.699999999953,0.5249360956923012,160,165,162.5
165-170,897921.1,907847.8,-9926.70000000007,0.6300464620724916,165,170,167.5
170-175,632771.875,652008.45,-19236.574999999953,0.7749854767195602,170,175,172.5
175-180,486773.55,510335.2,-23561.650000000023,0.9133354570133899,175,180,177.5
180-185,368720.35,393561.425,-24841.07500000001,0.9596366065208529,180,185,182.5
185-190,278854.175,301237.55,-22383.375,0.9873644191115647,185,190,187.5
190-195,212931,232620.25,-19689.25,0.9876753458211102,190,195,192.5
195-200,158292.95,174329.1,-16036.149999999994,0.9926422265581102,195,200,197.5
200-205,122562.475,136151.45,-13588.975000000006,0.992443970246632,200,205,202.5
205-210,93916.75,104587.75,-10671,0.9978350634487414,205,210,207.5
210-215,77476.175,86628.05,-9151.875,0.9982522570550153,210,215,212.5
215-220,66301.075,73874.525,-7573.449999999997,0.9996878142455328,215,220,217.5
220-225,63814.475,70526.25,-6711.7750000000015,0.9996278085129988,220,225,222.5
225-230,62451.7,68663.775,-6212.074999999997,0.9994374495957657,225,230,227.5
230-235,66545.6,72879.05,-6333.449999999997,0.9998247256258153,230,235,232.5
235-240,69533.65,75998.325,-6464.675000000003,0.9999108626150279,235,240,237.5
240-245,77025.425,84260.975,-7235.550000000003,0.9997193616691287,240,245,242.5
245-250,83139.975,90723.2,-7583.224999999991,0.9997737482567849,245,250,247.5
250-255,98036.775,106094.975,-8058.200000000012,0.9997568195964304,250,255,252.5
255-260,111410.375,118625.475,-7215.100000000006,0.9949737761671713,255,260,257.5
260-265,143026.025,150295.05,-7269.024999999994,0.9636410411751035,260,265,262.5
