## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_57_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_57_gc_summary.txt INPUT=BACW_57.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_57_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 16:24:07 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	125	12	0.009195	0.000822			
All Reads	ALL	1	96778	112	16	0.011356	0.001073			
All Reads	ALL	2	112145	160	15	0.014	0.001107			
All Reads	ALL	3	142995	240	14	0.01647	0.001063			
All Reads	ALL	4	154320	315	13	0.02003	0.001129			
All Reads	ALL	5	157807	480	13	0.029848	0.001362			
All Reads	ALL	6	178809	651	13	0.035726	0.0014			
All Reads	ALL	7	192237	863	12	0.044053	0.0015			
All Reads	ALL	8	219150	1191	12	0.053329	0.001545			
All Reads	ALL	9	247666	1726	12	0.068387	0.001646			
All Reads	ALL	10	291586	2317	11	0.077975	0.00162			
All Reads	ALL	11	356793	3503	11	0.096343	0.001628			
All Reads	ALL	12	465979	5479	11	0.11538	0.001559			
All Reads	ALL	13	615239	8677	11	0.138396	0.001486			
All Reads	ALL	14	873141	13884	10	0.156037	0.001324			
All Reads	ALL	15	1285786	22997	10	0.175509	0.001157			
All Reads	ALL	16	1924728	38574	10	0.196663	0.001001			
All Reads	ALL	17	2891023	63787	10	0.21651	0.000857			
All Reads	ALL	18	4335741	104088	10	0.235578	0.00073			
All Reads	ALL	19	6401990	165577	10	0.253794	0.000624			
All Reads	ALL	20	9247196	256660	9	0.272361	0.000538			
All Reads	ALL	21	13006685	386951	9	0.291935	0.000469			
All Reads	ALL	22	17758784	565869	9	0.31268	0.000416			
All Reads	ALL	23	23572432	803582	9	0.334521	0.000373			
All Reads	ALL	24	30422731	1108937	9	0.357689	0.00034			
All Reads	ALL	25	38148940	1486489	9	0.382363	0.000314			
All Reads	ALL	26	46458566	1938111	9	0.409364	0.000294			
All Reads	ALL	27	55140542	2463321	8	0.438376	0.000279			
All Reads	ALL	28	63902550	3059499	8	0.469818	0.000269			
All Reads	ALL	29	72441993	3718767	8	0.503739	0.000261			
All Reads	ALL	30	80581156	4428659	8	0.539307	0.000256			
All Reads	ALL	31	88164984	5190805	8	0.577744	0.000254			
All Reads	ALL	32	95038247	5993991	8	0.618892	0.000253			
All Reads	ALL	33	101107447	6820492	8	0.661957	0.000253			
All Reads	ALL	34	106387106	7640022	8	0.704697	0.000255			
All Reads	ALL	35	110786537	8445779	8	0.748083	0.000257			
