## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_metrics/BACW_65_insert_histogram.pdf MINIMUM_PCT=0.5 INPUT=BACW_65.deduplicated.sorted.bam OUTPUT=insert_metrics/BACW_65_insert_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 18:00:05 CEST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
216	147	77	20	1000	255.829325	124.003405	144072217	FR	85	111	127	139	155	177	207	251	343	565	931			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
20	22
21	32
22	32
23	57
24	77
25	81
26	144
27	163
28	170
29	267
30	311
31	315
32	318
33	368
34	394
35	435
36	534
37	642
38	737
39	966
40	1141
41	1115
42	1122
43	1022
44	1078
45	1147
46	1223
47	1361
48	1577
49	2135
50	2490
51	2145
52	2048
53	1934
54	2018
55	2154
56	2268
57	2606
58	3431
59	4936
60	6619
61	6565
62	5080
63	3592
64	3409
65	3476
66	3780
67	4174
68	4976
69	6662
70	9546
71	11912
72	11782
73	9111
74	6929
75	6396
76	6789
77	7918
78	9721
79	12376
80	14612
81	15779
82	15832
83	14969
84	13808
85	13278
86	13568
87	14735
88	16356
89	19235
90	23230
91	26133
92	25573
93	22138
94	19756
95	19922
96	20816
97	23232
98	25731
99	30280
100	39370
101	52874
102	63364
103	61065
104	48465
105	38331
106	36968
107	39792
108	44951
109	52095
110	65957
111	88219
112	121063
113	153632
114	163375
115	145493
116	130385
117	136322
118	164370
119	206915
120	253376
121	262648
122	278818
123	289598
124	313836
125	336689
126	347627
127	374117
128	479904
129	648802
130	579719
131	584415
132	630595
133	644786
134	642180
135	650893
136	718402
137	800687
138	889963
139	1005047
140	1099156
141	1170028
142	1252659
143	1390962
144	1600202
145	1807281
146	1917617
147	1948591
148	1948135
149	1911179
150	1841577
151	1765340
152	1708785
153	1700067
154	1716854
155	1736516
156	1732488
157	1687468
158	1602762
159	1501214
160	1394405
161	1293687
162	1206981
163	1139481
164	1090222
165	1060308
166	1038213
167	1009991
168	976739
169	928852
170	871084
171	807003
172	747479
173	694240
174	648348
175	613851
176	588634
177	568645
178	552477
179	532037
180	508909
181	482119
182	451574
183	419770
184	392201
185	367998
186	348519
187	333247
188	319486
189	307709
190	295275
191	279723
192	263667
193	246085
194	229377
195	214258
196	200832
197	190126
198	181309
199	174099
200	166341
201	158186
202	150622
203	140656
204	131586
205	123756
206	116512
207	110440
208	105871
209	102305
210	98341
211	94170
212	90396
213	86705
214	82013
215	78286
216	75168
217	73023
218	71904
219	71175
220	71163
221	70593
222	69580
223	68348
224	67253
225	66654
226	65993
227	65915
228	65758
229	66226
230	67076
231	67986
232	69377
233	70458
234	70755
235	71436
236	71831
237	72007
238	72686
239	73359
240	74274
241	75687
242	77975
243	80128
244	81667
245	82604
246	82930
247	84224
248	84295
249	86838
250	89650
251	93833
252	96456
253	99645
254	102017
255	102893
256	104691
257	105572
258	109066
259	114179
260	120647
261	129032
262	137301
263	142435
264	145853
265	149549
266	153593
267	161405
268	169895
269	179258
270	188999
271	199337
272	209504
273	220189
274	231158
275	241628
276	254823
277	270886
278	288148
279	304444
280	315917
281	327609
282	339058
283	355205
284	374427
285	397629
286	420599
287	443456
288	464977
289	484314
290	498313
291	512696
292	526597
293	542323
294	556886
295	573060
296	587314
297	600680
298	612211
299	623945
300	634056
301	643747
302	653368
303	661307
304	666936
305	669402
306	670538
307	670126
308	671505
309	677210
310	685596
311	692922
312	697220
313	698162
314	696381
315	694398
316	687171
317	676981
318	672012
319	668217
320	667959
321	668909
322	669229
323	668496
324	665431
325	661076
326	656594
327	647588
328	642064
329	636690
330	631493
331	626734
332	620876
333	614386
334	605730
335	598056
336	591341
337	584303
338	578613
339	571703
340	562137
341	552645
342	541960
343	530303
344	519150
345	509501
346	497200
347	488629
348	477876
349	468782
350	457706
351	446630
352	433659
353	419147
354	405016
355	389656
356	376951
357	365247
358	354441
359	343229
360	334042
361	323230
362	310466
363	299141
364	285165
365	272369
366	260721
367	249370
